"time_s","ce_mol_m3"
"2.7","1196.9904914435592"
"2.75","1196.9349678319202"
"2.8","1196.8794458846992"
"2.85","1196.8239255974106"
"2.9","1196.7684069022853"
"2.95","1196.7128896237748"
"3.0","1196.6573736768005"
"3.05","1196.6018591260627"
"3.1","1196.546345754043"
"3.15","1196.4908335382943"
"3.2","1196.435322494323"
"3.25","1196.3798123670615"
"3.3","1196.3243033313963"
"3.35","1196.2687950750467"
"3.4","1196.2132877621955"
"3.45","1196.1577811834757"
"3.5","1196.1022753653028"
"3.55","1196.0467702906933"
"3.6","1195.9912657638388"
"3.65","1195.9357619240832"
"3.7","1195.8802585880721"
"3.75","1195.8247557087705"
"3.8","1195.7692533309325"
"3.85","1195.713751400829"
"3.9","1195.658249724207"
"3.95","1195.6027484387316"
"4.0","1195.5472474855815"
"4.05","1195.4917468087717"
"4.1","1195.4362462456309"
"4.15","1195.380745871303"
"4.2","1195.3252456640455"
"4.25","1195.2697456006997"
"4.3","1195.214245633606"
"4.35","1195.1587457173014"
"4.4","1195.1032457683489"
"4.45","1195.0477457843049"
"4.5","1194.9922457652701"
"4.55","1194.9367456947637"
"4.6","1194.8812455330394"
"4.65","1194.8257452420726"
"4.7","1194.7702447854708"
"4.75","1194.7147441495333"
"4.8","1194.659243321851"
"4.85","1194.603742267644"
"4.9","1194.548240953554"
"4.95","1194.4927393475687"
"5.0","1194.4372374390439"
