# lindo2_mp-1222355 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 12.131 eV. Gap is the fixed-occ nscf value (-0.028 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,Nd_d,Nd_f,Nd_p,Nd_s,O_p,O_s
-31.272,-43.4031,0,0,0,0,0,0,0,0
-31.262,-43.3931,0,0,0,0,0,0,0,0
-31.252,-43.3831,0,0,0,0,0,0,0,0
-31.242,-43.3731,0,0,0,0,0,0,0,0
-31.232,-43.3631,0,0,0,0,0,0,0,0
-31.222,-43.3531,0,0,0,0,0,0,0,0
-31.212,-43.3431,0,0,0,0,0,0,0,0
-31.202,-43.3331,0,0,0,0,0,0,0,0
-31.192,-43.3231,0,0,0,0,0,0,0,0
-31.182,-43.3131,0,0,0,0,0,0,0,0
-31.172,-43.3031,0,0,0,0,0,0,0,0
-31.162,-43.2931,0,0,0,0,0,0,0,0
-31.152,-43.2831,0,0,0,0,0,0,0,0
-31.142,-43.2731,0,0,0,0,0,0,0,0
-31.132,-43.2631,0,0,0,0,0,0,0,0
-31.122,-43.2531,0,0,0,0,0,0,0,0
-31.112,-43.2431,0,0,0,0,0,0,0,0
-31.102,-43.2331,0,0,0,0,0,0,0,0
-31.092,-43.2231,0,0,0,0,0,0,0,0
-31.082,-43.2131,0,0,0,0,0,0,0,0
-31.072,-43.2031,0,0,0,0,0,0,0,0
-31.062,-43.1931,0,0,0,0,0,0,0,0
-31.052,-43.1831,0,0,0,0,0,0,0,0
-31.042,-43.1731,0,0,0,0,0,0,0,0
-31.032,-43.1631,0,0,0,0,0,0,0,0
-31.022,-43.1531,0,0,0,0,0,0,0,0
-31.012,-43.1431,0,0,0,0,0,0,0,0
-31.002,-43.1331,0,0,0,0,0,0,0,0
-30.992,-43.1231,0,0,0,0,0,0,0,0
-30.982,-43.1131,0,0,0,0,0,0,0,0
-30.972,-43.1031,0,0,0,0,0,0,0,0
-30.962,-43.0931,0,0,0,0,0,0,0,0
-30.952,-43.0831,0,0,0,0,0,0,0,0
-30.942,-43.0731,0,0,0,0,0,0,0,0
-30.932,-43.0631,0,0,0,0,0,0,0,0
-30.922,-43.0531,0,0,0,0,0,0,0,0
-30.912,-43.0431,0,0,0,0,0,0,0,0
-30.902,-43.0331,0,0,0,0,0,0,0,0
-30.892,-43.0231,0,0,0,0,0,0,0,0
-30.882,-43.0131,0,0,0,0,0,0,0,0
-30.872,-43.0031,0,0,0,0,0,0,0,0
-30.862,-42.9931,0,0,0,0,0,0,0,0
-30.852,-42.9831,0,0,0,0,0,0,0,0
-30.842,-42.9731,0,0,0,0,0,0,0,0
-30.832,-42.9631,0,0,0,0,0,0,0,0
-30.822,-42.9531,0,0,0,0,0,0,0,0
-30.812,-42.9431,0,0,0,0,0,0,0,0
-30.802,-42.9331,0,0,0,0,0,0,0,0
-30.792,-42.9231,0,0,0,0,0,0,0,0
-30.782,-42.9131,0,0,0,0,0,0,0,0
-30.772,-42.9031,0,0,0,0,0,0,0,0
-30.762,-42.8931,0,0,0,0,0,0,0,0
-30.752,-42.8831,0,0,0,0,0,0,0,0
-30.742,-42.8731,0,0,0,0,0,0,0,0
-30.732,-42.8631,0,0,0,0,0,0,0,0
-30.722,-42.8531,0,0,0,0,0,0,0,0
-30.712,-42.8431,0,0,0,0,0,0,0,0
-30.702,-42.8331,0,0,0,0,0,0,0,0
-30.692,-42.8231,0,0,0,0,0,0,0,0
-30.682,-42.8131,0,0,0,0,0,0,0,0
-30.672,-42.8031,0,0,0,0,0,0,0,0
-30.662,-42.7931,0,0,0,0,0,0,0,0
-30.652,-42.7831,0,0,0,0,0,0,0,0
-30.642,-42.7731,0,0,0,0,0,0,0,0
-30.632,-42.7631,0,0,0,0,0,0,0,0
-30.622,-42.7531,0,0,0,0,0,0,0,0
-30.612,-42.7431,0,0,0,0,0,0,0,0
-30.602,-42.7331,0,0,0,0,0,0,0,0
-30.592,-42.7231,0,0,0,0,0,0,0,0
-30.582,-42.7131,0,0,0,0,0,0,0,0
-30.572,-42.7031,0,0,0,0,0,0,0,0
-30.562,-42.6931,0,0,0,0,0,0,0,0
-30.552,-42.6831,0,0,0,0,0,0,0,0
-30.542,-42.6731,0,0,0,0,0,0,0,0
-30.532,-42.6631,0,0,0,0,0,0,0,0
-30.522,-42.6531,0,0,0,0,0,0,0,0
-30.512,-42.6431,0,0,0,0,0,0,0,0
-30.502,-42.6331,0,0,0,0,0,0,0,0
-30.492,-42.6231,0,0,0,0,0,0,0,0
-30.482,-42.6131,0,0,0,0,0,0,0,0
-30.472,-42.6031,0,0,0,0,0,0,0,0
-30.462,-42.5931,0,0,0,0,0,0,0,0
-30.452,-42.5831,0,0,0,0,0,0,0,0
-30.442,-42.5731,0,0,0,0,0,0,0,0
-30.432,-42.5631,0,0,0,0,0,0,0,0
-30.422,-42.5531,0,0,0,0,0,0,0,0
-30.412,-42.5431,0,0,0,0,0,0,0,0
-30.402,-42.5331,0,0,0,0,0,0,0,0
-30.392,-42.5231,0,0,0,0,0,0,0,0
-30.382,-42.5131,0,0,0,0,0,0,0,0
-30.372,-42.5031,0,0,0,0,0,0,0,0
-30.362,-42.4931,0,0,0,0,0,0,0,0
-30.352,-42.4831,0,0,0,0,0,0,0,0
-30.342,-42.4731,0,0,0,0,0,0,0,0
-30.332,-42.4631,0,0,0,0,0,0,0,0
-30.322,-42.4531,0,0,0,0,0,0,0,0
-30.312,-42.4431,0,0,0,0,0,0,0,0
-30.302,-42.4331,0,0,0,0,0,0,0,0
-30.292,-42.4231,0,0,0,0,0,0,0,0
-30.282,-42.4131,0,0,0,0,0,0,0,0
-30.272,-42.4031,0,0,0,0,0,0,0,0
-30.262,-42.3931,0,0,0,0,0,0,0,0
-30.252,-42.3831,0,0,0,0,0,0,0,0
-30.242,-42.3731,0,0,0,0,0,0,0,0
-30.232,-42.3631,0,0,0,0,0,0,0,0
-30.222,-42.3531,0,0,0,0,0,0,0,0
-30.212,-42.3431,0,0,0,0,0,0,0,0
-30.202,-42.3331,0,0,0,0,0,0,0,0
-30.192,-42.3231,0,0,0,0,0,0,0,0
-30.182,-42.3131,0,0,0,0,0,0,0,0
-30.172,-42.3031,0,0,0,0,0,0,0,0
-30.162,-42.2931,0,0,0,0,0,0,0,0
-30.152,-42.2831,0,0,0,0,0,0,0,0
-30.142,-42.2731,0,0,0,0,0,0,0,0
-30.132,-42.2631,0,0,0,0,0,0,0,0
-30.122,-42.2531,0,0,0,0,0,0,0,0
-30.112,-42.2431,0,0,0,0,0,0,0,0
-30.102,-42.2331,0,0,0,0,0,0,0,0
-30.092,-42.2231,0,0,0,0,0,0,0,0
-30.082,-42.2131,0,0,0,0,0,0,0,0
-30.072,-42.2031,0,0,0,0,0,0,0,0
-30.062,-42.1931,0,0,0,0,0,0,0,0
-30.052,-42.1831,0,0,0,0,0,0,0,0
-30.042,-42.1731,0,0,0,0,0,0,0,0
-30.032,-42.1631,0,0,0,0,0,0,0,0
-30.022,-42.1531,0,0,0,0,0,0,0,0
-30.012,-42.1431,0,0,0,0,0,0,0,0
-30.002,-42.1331,0,0,0,0,0,0,0,0
-29.992,-42.1231,0,0,0,0,0,0,0,0
-29.982,-42.1131,0,0,0,0,0,0,0,0
-29.972,-42.1031,0,0,0,0,0,0,0,0
-29.962,-42.0931,0,0,0,0,0,0,0,0
-29.952,-42.0831,0,0,0,0,0,0,0,0
-29.942,-42.0731,0,0,0,0,0,0,0,0
-29.932,-42.0631,0,0,0,0,0,0,0,0
-29.922,-42.0531,0,0,0,0,0,0,0,0
-29.912,-42.0431,0,0,0,0,0,0,0,0
-29.902,-42.0331,0,0,0,0,0,0,0,0
-29.892,-42.0231,0,0,0,0,0,0,0,0
-29.882,-42.0131,0,0,0,0,0,0,0,0
-29.872,-42.0031,0,0,0,0,0,0,0,0
-29.862,-41.9931,0,0,0,0,0,0,0,0
-29.852,-41.9831,0,0,0,0,0,0,0,0
-29.842,-41.9731,0,0,0,0,0,0,0,0
-29.832,-41.9631,0,0,0,0,0,0,0,0
