# licl_mp-22905 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 1.576 eV. Gap is the fixed-occ nscf value (6.260 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Cl_p,Cl_s,Li_p,Li_s
-41.898,-43.4736,0.1084,0.001656,0.464,44.5276
-41.888,-43.4636,0.102,0.00156,0.44,41.7204
-41.878,-43.4536,0.094,0.001436,0.404,38.5912
-41.868,-43.4436,0.0848,0.001296,0.3636,34.8204
-41.858,-43.4336,0.0748,0.001144,0.3208,30.7284
-41.848,-43.4236,0.0648,0.000988,0.2764,26.5164
-41.838,-43.4136,0.0548,0.000832,0.2332,22.3848
-41.828,-43.4036,0.0452,0.000688,0.1924,18.4936
-41.818,-43.3936,0.03648,0.000556,0.1552,14.9632
-41.808,-43.3836,0.02884,0.00044,0.1228,11.8042
-41.798,-43.3736,0.02228,0.0003392,0.0948,9.1464
-41.788,-43.3636,0.01688,0.0002564,0.0716,6.9
-41.778,-43.3536,0.01248,0.0001896,0.0528,5.0948
-41.768,-43.3436,0.00904,0.0001372,0.0382,3.69872
-41.758,-43.3336,0.0064,9.72e-05,0.02704,2.6156
-41.748,-43.3236,0.00444,6.72e-05,0.01868,1.81324
-41.738,-43.3136,0.003,4.56e-05,0.01264,1.22756
-41.728,-43.3036,0.001988,3.012e-05,0.00836,0.81436
-41.718,-43.2936,0.001288,1.952e-05,0.0054,0.525532
-41.708,-43.2836,0.000816,1.236e-05,0.003432,0.334172
-41.698,-43.2736,0.000508,7.68e-06,0.002127,0.207104
-41.688,-43.2636,0.0003072,4.64e-06,0.001288,0.125566
-41.678,-43.2536,0.0001824,2.76e-06,0.000764,0.0746172
-41.668,-43.2436,0.000106,1.6e-06,0.000444,0.043326
-41.658,-43.2336,6e-05,9.08e-07,0.0002512,0.0245916
-41.648,-43.2236,3.34e-05,5.04e-07,0.0001392,0.0136398
-41.638,-43.2136,1.816e-05,2.74e-07,7.56e-05,0.00742164
-41.628,-43.2036,9.64e-06,1.456e-07,4e-05,0.00394052
-41.618,-43.1936,5e-06,7.56e-08,2.084e-05,0.00205
-41.608,-43.1836,2.552e-06,3.848e-08,1.06e-05,0.00104305
-41.598,-43.1736,1.268e-06,1.912e-08,5.28e-06,0.000517516
-41.588,-43.1636,6.16e-07,9.32e-09,2.56e-06,0.00025234
-41.578,-43.1536,2.94e-07,4.44e-09,1.216e-06,0.000119952
-41.568,-43.1436,1.368e-07,2.06e-09,5.64e-07,5.5764e-05
-41.558,-43.1336,6.24e-08,9.4e-10,2.576e-07,2.54448e-05
-41.548,-43.1236,2.78e-08,4.16e-10,1.144e-07,1.13533e-05
-41.538,-43.1136,1.212e-08,1.82e-10,5e-08,4.93452e-06
-41.528,-43.1036,5.16e-09,7.76e-11,2.124e-08,2.1062e-06
-41.518,-43.0936,2.156e-09,3.232e-11,8.84e-09,8.78584e-07
-41.508,-43.0836,8.8e-10,1.32e-11,3.604e-09,3.58356e-07
-41.498,-43.0736,3.508e-10,5.24e-12,1.436e-09,1.4292e-07
-41.488,-43.0636,1.368e-10,2.052e-12,5.6e-10,5.57644e-08
-41.478,-43.0536,5.24e-11,7.84e-13,2.136e-10,2.13028e-08
-41.468,-43.0436,1.952e-11,2.924e-13,7.96e-11,7.94348e-09
-41.458,-43.0336,7.12e-12,1.068e-13,2.911e-11,2.90857e-09
-41.448,-43.0236,2.552e-12,3.816e-14,1.04e-11,1.03907e-09
-41.438,-43.0136,8.92e-13,1.332e-14,3.628e-12,3.63172e-10
-41.428,-43.0036,0,0,0,0
-41.418,-42.9936,0,0,0,0
-41.408,-42.9836,0,0,0,0
-41.398,-42.9736,0,0,0,0
-41.388,-42.9636,0,0,0,0
-41.378,-42.9536,0,0,0,0
-41.368,-42.9436,0,0,0,0
-41.358,-42.9336,0,0,0,0
-41.348,-42.9236,0,0,0,0
-41.338,-42.9136,0,0,0,0
-41.328,-42.9036,0,0,0,0
-41.318,-42.8936,0,0,0,0
-41.308,-42.8836,0,0,0,0
-41.298,-42.8736,0,0,0,0
-41.288,-42.8636,0,0,0,0
-41.278,-42.8536,0,0,0,0
-41.268,-42.8436,0,0,0,0
-41.258,-42.8336,0,0,0,0
-41.248,-42.8236,0,0,0,0
-41.238,-42.8136,0,0,0,0
-41.228,-42.8036,0,0,0,0
-41.218,-42.7936,0,0,0,0
-41.208,-42.7836,0,0,0,0
-41.198,-42.7736,0,0,0,0
-41.188,-42.7636,0,0,0,0
-41.178,-42.7536,0,0,0,0
-41.168,-42.7436,0,0,0,0
-41.158,-42.7336,0,0,0,0
-41.148,-42.7236,0,0,0,0
-41.138,-42.7136,0,0,0,0
-41.128,-42.7036,0,0,0,0
-41.118,-42.6936,0,0,0,0
-41.108,-42.6836,0,0,0,0
-41.098,-42.6736,0,0,0,0
-41.088,-42.6636,0,0,0,0
-41.078,-42.6536,0,0,0,0
-41.068,-42.6436,0,0,0,0
-41.058,-42.6336,0,0,0,0
-41.048,-42.6236,0,0,0,0
-41.038,-42.6136,0,0,0,0
-41.028,-42.6036,0,0,0,0
-41.018,-42.5936,0,0,0,0
-41.008,-42.5836,0,0,0,0
-40.998,-42.5736,0,0,0,0
-40.988,-42.5636,0,0,0,0
-40.978,-42.5536,0,0,0,0
-40.968,-42.5436,0,0,0,0
-40.958,-42.5336,0,0,0,0
-40.948,-42.5236,0,0,0,0
-40.938,-42.5136,0,0,0,0
-40.928,-42.5036,0,0,0,0
-40.918,-42.4936,0,0,0,0
-40.908,-42.4836,0,0,0,0
-40.898,-42.4736,0,0,0,0
-40.888,-42.4636,0,0,0,0
-40.878,-42.4536,0,0,0,0
-40.868,-42.4436,0,0,0,0
-40.858,-42.4336,0,0,0,0
-40.848,-42.4236,0,0,0,0
-40.838,-42.4136,0,0,0,0
-40.828,-42.4036,0,0,0,0
-40.818,-42.3936,0,0,0,0
-40.808,-42.3836,0,0,0,0
-40.798,-42.3736,0,0,0,0
-40.788,-42.3636,0,0,0,0
-40.778,-42.3536,0,0,0,0
-40.768,-42.3436,0,0,0,0
-40.758,-42.3336,0,0,0,0
-40.748,-42.3236,0,0,0,0
-40.738,-42.3136,0,0,0,0
-40.728,-42.3036,0,0,0,0
-40.718,-42.2936,0,0,0,0
-40.708,-42.2836,0,0,0,0
-40.698,-42.2736,0,0,0,0
-40.688,-42.2636,0,0,0,0
-40.678,-42.2536,0,0,0,0
-40.668,-42.2436,0,0,0,0
-40.658,-42.2336,0,0,0,0
-40.648,-42.2236,0,0,0,0
-40.638,-42.2136,0,0,0,0
-40.628,-42.2036,0,0,0,0
-40.618,-42.1936,0,0,0,0
-40.608,-42.1836,0,0,0,0
-40.598,-42.1736,0,0,0,0
-40.588,-42.1636,0,0,0,0
-40.578,-42.1536,0,0,0,0
-40.568,-42.1436,0,0,0,0
-40.558,-42.1336,0,0,0,0
-40.548,-42.1236,0,0,0,0
-40.538,-42.1136,0,0,0,0
-40.528,-42.1036,0,0,0,0
-40.518,-42.0936,0,0,0,0
-40.508,-42.0836,0,0,0,0
-40.498,-42.0736,0,0,0,0
-40.488,-42.0636,0,0,0,0
-40.478,-42.0536,0,0,0,0
-40.468,-42.0436,0,0,0,0
-40.458,-42.0336,0,0,0,0
-40.448,-42.0236,0,0,0,0
-40.438,-42.0136,0,0,0,0
-40.428,-42.0036,0,0,0,0
-40.418,-41.9936,0,0,0,0
-40.408,-41.9836,0,0,0,0
-40.398,-41.9736,0,0,0,0
-40.388,-41.9636,0,0,0,0
-40.378,-41.9536,0,0,0,0
-40.368,-41.9436,0,0,0,0
-40.358,-41.9336,0,0,0,0
-40.348,-41.9236,0,0,0,0
-40.338,-41.9136,0,0,0,0
-40.328,-41.9036,0,0,0,0
-40.318,-41.8936,0,0,0,0
-40.308,-41.8836,0,0,0,0
-40.298,-41.8736,0,0,0,0
-40.288,-41.8636,0,0,0,0
-40.278,-41.8536,0,0,0,0
-40.268,-41.8436,0,0,0,0
-40.258,-41.8336,0,0,0,0
-40.248,-41.8236,0,0,0,0
-40.238,-41.8136,0,0,0,0
-40.228,-41.8036,0,0,0,0
-40.218,-41.7936,0,0,0,0
-40.208,-41.7836,0,0,0,0
-40.198,-41.7736,0,0,0,0
-40.188,-41.7636,0,0,0,0
-40.178,-41.7536,0,0,0,0
-40.168,-41.7436,0,0,0,0
-40.158,-41.7336,0,0,0,0
-40.148,-41.7236,0,0,0,0
-40.138,-41.7136,0,0,0,0
-40.128,-41.7036,0,0,0,0
-40.118,-41.6936,0,0,0,0
-40.108,-41.6836,0,0,0,0
-40.098,-41.6736,0,0,0,0
-40.088,-41.6636,0,0,0,0
-40.078,-41.6536,0,0,0,0
-40.068,-41.6436,0,0,0,0
-40.058,-41.6336,0,0,0,0
-40.048,-41.6236,0,0,0,0
-40.038,-41.6136,0,0,0,0
-40.028,-41.6036,0,0,0,0
-40.018,-41.5936,0,0,0,0
-40.008,-41.5836,0,0,0,0
-39.998,-41.5736,0,0,0,0
-39.988,-41.5636,0,0,0,0
-39.978,-41.5536,0,0,0,0
-39.968,-41.5436,0,0,0,0
-39.958,-41.5336,0,0,0,0
-39.948,-41.5236,0,0,0,0
-39.938,-41.5136,0,0,0,0
-39.928,-41.5036,0,0,0,0
-39.918,-41.4936,0,0,0,0
-39.908,-41.4836,0,0,0,0
-39.898,-41.4736,0,0,0,0
-39.888,-41.4636,0,0,0,0
-39.878,-41.4536,0,0,0,0
-39.868,-41.4436,0,0,0,0
-39.858,-41.4336,0,0,0,0
-39.848,-41.4236,0,0,0,0
-39.838,-41.4136,0,0,0,0
-39.828,-41.4036,0,0,0,0
-39.818,-41.3936,0,0,0,0
-39.808,-41.3836,0,0,0,0
-39.798,-41.3736,0,0,0,0
-39.788,-41.3636,0,0,0,0
-39.778,-41.3536,0,0,0,0
-39.768,-41.3436,0,0,0,0
-39.758,-41.3336,0,0,0,0
-39.748,-41.3236,0,0,0,0
-39.738,-41.3136,0,0,0,0
-39.728,-41.3036,0,0,0,0
-39.718,-41.2936,0,0,0,0
-39.708,-41.2836,0,0,0,0
-39.698,-41.2736,0,0,0,0
-39.688,-41.2636,0,0,0,0
-39.678,-41.2536,0,0,0,0
-39.668,-41.2436,0,0,0,0
-39.658,-41.2336,0,0,0,0
-39.648,-41.2236,0,0,0,0
-39.638,-41.2136,0,0,0,0
-39.628,-41.2036,0,0,0,0
-39.618,-41.1936,0,0,0,0
-39.608,-41.1836,0,0,0,0
-39.598,-41.1736,0,0,0,0
-39.588,-41.1636,0,0,0,0
-39.578,-41.1536,0,0,0,0
-39.568,-41.1436,0,0,0,0
-39.558,-41.1336,0,0,0,0
-39.548,-41.1236,0,0,0,0
-39.538,-41.1136,0,0,0,0
-39.528,-41.1036,0,0,0,0
-39.518,-41.0936,0,0,0,0
-39.508,-41.0836,0,0,0,0
-39.498,-41.0736,0,0,0,0
-39.488,-41.0636,0,0,0,0
-39.478,-41.0536,0,0,0,0
-39.468,-41.0436,0,0,0,0
-39.458,-41.0336,0,0,0,0
-39.448,-41.0236,0,0,0,0
-39.438,-41.0136,0,0,0,0
-39.428,-41.0036,0,0,0,0
-39.418,-40.9936,0,0,0,0
-39.408,-40.9836,0,0,0,0
-39.398,-40.9736,0,0,0,0
-39.388,-40.9636,0,0,0,0
-39.378,-40.9536,0,0,0,0
-39.368,-40.9436,0,0,0,0
-39.358,-40.9336,0,0,0,0
-39.348,-40.9236,0,0,0,0
-39.338,-40.9136,0,0,0,0
-39.328,-40.9036,0,0,0,0
-39.318,-40.8936,0,0,0,0
-39.308,-40.8836,0,0,0,0
-39.298,-40.8736,0,0,0,0
-39.288,-40.8636,0,0,0,0
-39.278,-40.8536,0,0,0,0
-39.268,-40.8436,0,0,0,0
-39.258,-40.8336,0,0,0,0
-39.248,-40.8236,0,0,0,0
-39.238,-40.8136,0,0,0,0
-39.228,-40.8036,0,0,0,0
-39.218,-40.7936,0,0,0,0
-39.208,-40.7836,0,0,0,0
-39.198,-40.7736,0,0,0,0
-39.188,-40.7636,0,0,0,0
-39.178,-40.7536,0,0,0,0
-39.168,-40.7436,0,0,0,0
-39.158,-40.7336,0,0,0,0
-39.148,-40.7236,0,0,0,0
-39.138,-40.7136,0,0,0,0
-39.128,-40.7036,0,0,0,0
-39.118,-40.6936,0,0,0,0
-39.108,-40.6836,0,0,0,0
-39.098,-40.6736,0,0,0,0
-39.088,-40.6636,0,0,0,0
-39.078,-40.6536,0,0,0,0
-39.068,-40.6436,0,0,0,0
-39.058,-40.6336,0,0,0,0
-39.048,-40.6236,0,0,0,0
-39.038,-40.6136,0,0,0,0
-39.028,-40.6036,0,0,0,0
-39.018,-40.5936,0,0,0,0
-39.008,-40.5836,0,0,0,0
-38.998,-40.5736,0,0,0,0
-38.988,-40.5636,0,0,0,0
-38.978,-40.5536,0,0,0,0
-38.968,-40.5436,0,0,0,0
-38.958,-40.5336,0,0,0,0
-38.948,-40.5236,0,0,0,0
-38.938,-40.5136,0,0,0,0
-38.928,-40.5036,0,0,0,0
-38.918,-40.4936,0,0,0,0
-38.908,-40.4836,0,0,0,0
-38.898,-40.4736,0,0,0,0
-38.888,-40.4636,0,0,0,0
-38.878,-40.4536,0,0,0,0
-38.868,-40.4436,0,0,0,0
-38.858,-40.4336,0,0,0,0
-38.848,-40.4236,0,0,0,0
-38.838,-40.4136,0,0,0,0
-38.828,-40.4036,0,0,0,0
-38.818,-40.3936,0,0,0,0
-38.808,-40.3836,0,0,0,0
-38.798,-40.3736,0,0,0,0
-38.788,-40.3636,0,0,0,0
-38.778,-40.3536,0,0,0,0
-38.768,-40.3436,0,0,0,0
-38.758,-40.3336,0,0,0,0
-38.748,-40.3236,0,0,0,0
-38.738,-40.3136,0,0,0,0
-38.728,-40.3036,0,0,0,0
-38.718,-40.2936,0,0,0,0
-38.708,-40.2836,0,0,0,0
-38.698,-40.2736,0,0,0,0
-38.688,-40.2636,0,0,0,0
-38.678,-40.2536,0,0,0,0
-38.668,-40.2436,0,0,0,0
-38.658,-40.2336,0,0,0,0
-38.648,-40.2236,0,0,0,0
-38.638,-40.2136,0,0,0,0
-38.628,-40.2036,0,0,0,0
-38.618,-40.1936,0,0,0,0
-38.608,-40.1836,0,0,0,0
-38.598,-40.1736,0,0,0,0
-38.588,-40.1636,0,0,0,0
-38.578,-40.1536,0,0,0,0
-38.568,-40.1436,0,0,0,0
-38.558,-40.1336,0,0,0,0
-38.548,-40.1236,0,0,0,0
-38.538,-40.1136,0,0,0,0
-38.528,-40.1036,0,0,0,0
-38.518,-40.0936,0,0,0,0
-38.508,-40.0836,0,0,0,0
-38.498,-40.0736,0,0,0,0
-38.488,-40.0636,0,0,0,0
-38.478,-40.0536,0,0,0,0
-38.468,-40.0436,0,0,0,0
-38.458,-40.0336,0,0,0,0
-38.448,-40.0236,0,0,0,0
-38.438,-40.0136,0,0,0,0
-38.428,-40.0036,0,0,0,0
-38.418,-39.9936,0,0,0,0
-38.408,-39.9836,0,0,0,0
-38.398,-39.9736,0,0,0,0
-38.388,-39.9636,0,0,0,0
-38.378,-39.9536,0,0,0,0
-38.368,-39.9436,0,0,0,0
-38.358,-39.9336,0,0,0,0
-38.348,-39.9236,0,0,0,0
-38.338,-39.9136,0,0,0,0
-38.328,-39.9036,0,0,0,0
-38.318,-39.8936,0,0,0,0
-38.308,-39.8836,0,0,0,0
-38.298,-39.8736,0,0,0,0
-38.288,-39.8636,0,0,0,0
-38.278,-39.8536,0,0,0,0
-38.268,-39.8436,0,0,0,0
-38.258,-39.8336,0,0,0,0
-38.248,-39.8236,0,0,0,0
-38.238,-39.8136,0,0,0,0
-38.228,-39.8036,0,0,0,0
-38.218,-39.7936,0,0,0,0
-38.208,-39.7836,0,0,0,0
-38.198,-39.7736,0,0,0,0
-38.188,-39.7636,0,0,0,0
-38.178,-39.7536,0,0,0,0
-38.168,-39.7436,0,0,0,0
-38.158,-39.7336,0,0,0,0
-38.148,-39.7236,0,0,0,0
-38.138,-39.7136,0,0,0,0
-38.128,-39.7036,0,0,0,0
-38.118,-39.6936,0,0,0,0
-38.108,-39.6836,0,0,0,0
-38.098,-39.6736,0,0,0,0
-38.088,-39.6636,0,0,0,0
-38.078,-39.6536,0,0,0,0
-38.068,-39.6436,0,0,0,0
-38.058,-39.6336,0,0,0,0
-38.048,-39.6236,0,0,0,0
-38.038,-39.6136,0,0,0,0
-38.028,-39.6036,0,0,0,0
-38.018,-39.5936,0,0,0,0
-38.008,-39.5836,0,0,0,0
-37.998,-39.5736,0,0,0,0
-37.988,-39.5636,0,0,0,0
-37.978,-39.5536,0,0,0,0
-37.968,-39.5436,0,0,0,0
-37.958,-39.5336,0,0,0,0
-37.948,-39.5236,0,0,0,0
-37.938,-39.5136,0,0,0,0
-37.928,-39.5036,0,0,0,0
-37.918,-39.4936,0,0,0,0
-37.908,-39.4836,0,0,0,0
-37.898,-39.4736,0,0,0,0
-37.888,-39.4636,0,0,0,0
-37.878,-39.4536,0,0,0,0
-37.868,-39.4436,0,0,0,0
-37.858,-39.4336,0,0,0,0
-37.848,-39.4236,0,0,0,0
-37.838,-39.4136,0,0,0,0
-37.828,-39.4036,0,0,0,0
-37.818,-39.3936,0,0,0,0
-37.808,-39.3836,0,0,0,0
-37.798,-39.3736,0,0,0,0
-37.788,-39.3636,0,0,0,0
-37.778,-39.3536,0,0,0,0
-37.768,-39.3436,0,0,0,0
-37.758,-39.3336,0,0,0,0
-37.748,-39.3236,0,0,0,0
-37.738,-39.3136,0,0,0,0
-37.728,-39.3036,0,0,0,0
-37.718,-39.2936,0,0,0,0
-37.708,-39.2836,0,0,0,0
-37.698,-39.2736,0,0,0,0
-37.688,-39.2636,0,0,0,0
-37.678,-39.2536,0,0,0,0
-37.668,-39.2436,0,0,0,0
-37.658,-39.2336,0,0,0,0
-37.648,-39.2236,0,0,0,0
-37.638,-39.2136,0,0,0,0
-37.628,-39.2036,0,0,0,0
-37.618,-39.1936,0,0,0,0
-37.608,-39.1836,0,0,0,0
-37.598,-39.1736,0,0,0,0
-37.588,-39.1636,0,0,0,0
-37.578,-39.1536,0,0,0,0
-37.568,-39.1436,0,0,0,0
-37.558,-39.1336,0,0,0,0
-37.548,-39.1236,0,0,0,0
-37.538,-39.1136,0,0,0,0
-37.528,-39.1036,0,0,0,0
-37.518,-39.0936,0,0,0,0
-37.508,-39.0836,0,0,0,0
-37.498,-39.0736,0,0,0,0
-37.488,-39.0636,0,0,0,0
-37.478,-39.0536,0,0,0,0
-37.468,-39.0436,0,0,0,0
-37.458,-39.0336,0,0,0,0
-37.448,-39.0236,0,0,0,0
-37.438,-39.0136,0,0,0,0
-37.428,-39.0036,0,0,0,0
-37.418,-38.9936,0,0,0,0
-37.408,-38.9836,0,0,0,0
-37.398,-38.9736,0,0,0,0
-37.388,-38.9636,0,0,0,0
-37.378,-38.9536,0,0,0,0
-37.368,-38.9436,0,0,0,0
-37.358,-38.9336,0,0,0,0
-37.348,-38.9236,0,0,0,0
-37.338,-38.9136,0,0,0,0
-37.328,-38.9036,0,0,0,0
-37.318,-38.8936,0,0,0,0
-37.308,-38.8836,0,0,0,0
-37.298,-38.8736,0,0,0,0
-37.288,-38.8636,0,0,0,0
-37.278,-38.8536,0,0,0,0
-37.268,-38.8436,0,0,0,0
-37.258,-38.8336,0,0,0,0
-37.248,-38.8236,0,0,0,0
-37.238,-38.8136,0,0,0,0
-37.228,-38.8036,0,0,0,0
-37.218,-38.7936,0,0,0,0
-37.208,-38.7836,0,0,0,0
-37.198,-38.7736,0,0,0,0
-37.188,-38.7636,0,0,0,0
-37.178,-38.7536,0,0,0,0
-37.168,-38.7436,0,0,0,0
-37.158,-38.7336,0,0,0,0
-37.148,-38.7236,0,0,0,0
-37.138,-38.7136,0,0,0,0
-37.128,-38.7036,0,0,0,0
-37.118,-38.6936,0,0,0,0
-37.108,-38.6836,0,0,0,0
-37.098,-38.6736,0,0,0,0
-37.088,-38.6636,0,0,0,0
-37.078,-38.6536,0,0,0,0
-37.068,-38.6436,0,0,0,0
-37.058,-38.6336,0,0,0,0
-37.048,-38.6236,0,0,0,0
-37.038,-38.6136,0,0,0,0
-37.028,-38.6036,0,0,0,0
-37.018,-38.5936,0,0,0,0
-37.008,-38.5836,0,0,0,0
-36.998,-38.5736,0,0,0,0
-36.988,-38.5636,0,0,0,0
-36.978,-38.5536,0,0,0,0
-36.968,-38.5436,0,0,0,0
-36.958,-38.5336,0,0,0,0
-36.948,-38.5236,0,0,0,0
-36.938,-38.5136,0,0,0,0
-36.928,-38.5036,0,0,0,0
-36.918,-38.4936,0,0,0,0
-36.908,-38.4836,0,0,0,0
-36.898,-38.4736,0,0,0,0
-36.888,-38.4636,0,0,0,0
-36.878,-38.4536,0,0,0,0
-36.868,-38.4436,0,0,0,0
-36.858,-38.4336,0,0,0,0
-36.848,-38.4236,0,0,0,0
-36.838,-38.4136,0,0,0,0
-36.828,-38.4036,0,0,0,0
-36.818,-38.3936,0,0,0,0
-36.808,-38.3836,0,0,0,0
-36.798,-38.3736,0,0,0,0
-36.788,-38.3636,0,0,0,0
-36.778,-38.3536,0,0,0,0
-36.768,-38.3436,0,0,0,0
-36.758,-38.3336,0,0,0,0
-36.748,-38.3236,0,0,0,0
-36.738,-38.3136,0,0,0,0
-36.728,-38.3036,0,0,0,0
-36.718,-38.2936,0,0,0,0
-36.708,-38.2836,0,0,0,0
-36.698,-38.2736,0,0,0,0
-36.688,-38.2636,0,0,0,0
-36.678,-38.2536,0,0,0,0
-36.668,-38.2436,0,0,0,0
-36.658,-38.2336,0,0,0,0
-36.648,-38.2236,0,0,0,0
-36.638,-38.2136,0,0,0,0
-36.628,-38.2036,0,0,0,0
-36.618,-38.1936,0,0,0,0
-36.608,-38.1836,0,0,0,0
-36.598,-38.1736,0,0,0,0
-36.588,-38.1636,0,0,0,0
-36.578,-38.1536,0,0,0,0
-36.568,-38.1436,0,0,0,0
-36.558,-38.1336,0,0,0,0
-36.548,-38.1236,0,0,0,0
-36.538,-38.1136,0,0,0,0
-36.528,-38.1036,0,0,0,0
-36.518,-38.0936,0,0,0,0
-36.508,-38.0836,0,0,0,0
-36.498,-38.0736,0,0,0,0
-36.488,-38.0636,0,0,0,0
-36.478,-38.0536,0,0,0,0
-36.468,-38.0436,0,0,0,0
-36.458,-38.0336,0,0,0,0
-36.448,-38.0236,0,0,0,0
-36.438,-38.0136,0,0,0,0
-36.428,-38.0036,0,0,0,0
-36.418,-37.9936,0,0,0,0
-36.408,-37.9836,0,0,0,0
-36.398,-37.9736,0,0,0,0
-36.388,-37.9636,0,0,0,0
-36.378,-37.9536,0,0,0,0
-36.368,-37.9436,0,0,0,0
-36.358,-37.9336,0,0,0,0
-36.348,-37.9236,0,0,0,0
-36.338,-37.9136,0,0,0,0
-36.328,-37.9036,0,0,0,0
-36.318,-37.8936,0,0,0,0
-36.308,-37.8836,0,0,0,0
-36.298,-37.8736,0,0,0,0
-36.288,-37.8636,0,0,0,0
-36.278,-37.8536,0,0,0,0
-36.268,-37.8436,0,0,0,0
-36.258,-37.8336,0,0,0,0
-36.248,-37.8236,0,0,0,0
-36.238,-37.8136,0,0,0,0
-36.228,-37.8036,0,0,0,0
-36.218,-37.7936,0,0,0,0
-36.208,-37.7836,0,0,0,0
-36.198,-37.7736,0,0,0,0
-36.188,-37.7636,0,0,0,0
-36.178,-37.7536,0,0,0,0
-36.168,-37.7436,0,0,0,0
-36.158,-37.7336,0,0,0,0
-36.148,-37.7236,0,0,0,0
-36.138,-37.7136,0,0,0,0
-36.128,-37.7036,0,0,0,0
-36.118,-37.6936,0,0,0,0
-36.108,-37.6836,0,0,0,0
-36.098,-37.6736,0,0,0,0
-36.088,-37.6636,0,0,0,0
-36.078,-37.6536,0,0,0,0
-36.068,-37.6436,0,0,0,0
-36.058,-37.6336,0,0,0,0
-36.048,-37.6236,0,0,0,0
-36.038,-37.6136,0,0,0,0
-36.028,-37.6036,0,0,0,0
-36.018,-37.5936,0,0,0,0
-36.008,-37.5836,0,0,0,0
-35.998,-37.5736,0,0,0,0
-35.988,-37.5636,0,0,0,0
-35.978,-37.5536,0,0,0,0
-35.968,-37.5436,0,0,0,0
-35.958,-37.5336,0,0,0,0
-35.948,-37.5236,0,0,0,0
-35.938,-37.5136,0,0,0,0
-35.928,-37.5036,0,0,0,0
-35.918,-37.4936,0,0,0,0
-35.908,-37.4836,0,0,0,0
-35.898,-37.4736,0,0,0,0
-35.888,-37.4636,0,0,0,0
-35.878,-37.4536,0,0,0,0
-35.868,-37.4436,0,0,0,0
-35.858,-37.4336,0,0,0,0
-35.848,-37.4236,0,0,0,0
-35.838,-37.4136,0,0,0,0
-35.828,-37.4036,0,0,0,0
-35.818,-37.3936,0,0,0,0
-35.808,-37.3836,0,0,0,0
-35.798,-37.3736,0,0,0,0
-35.788,-37.3636,0,0,0,0
-35.778,-37.3536,0,0,0,0
-35.768,-37.3436,0,0,0,0
-35.758,-37.3336,0,0,0,0
-35.748,-37.3236,0,0,0,0
-35.738,-37.3136,0,0,0,0
-35.728,-37.3036,0,0,0,0
-35.718,-37.2936,0,0,0,0
-35.708,-37.2836,0,0,0,0
-35.698,-37.2736,0,0,0,0
-35.688,-37.2636,0,0,0,0
-35.678,-37.2536,0,0,0,0
-35.668,-37.2436,0,0,0,0
-35.658,-37.2336,0,0,0,0
-35.648,-37.2236,0,0,0,0
-35.638,-37.2136,0,0,0,0
-35.628,-37.2036,0,0,0,0
-35.618,-37.1936,0,0,0,0
-35.608,-37.1836,0,0,0,0
-35.598,-37.1736,0,0,0,0
