# li3po4_mp-13725 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.892 eV. Gap is the fixed-occ nscf value (5.912 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s,P_p,P_s
-38.458,-41.3499,0,0,0,0,0,0
-38.448,-41.3399,0,0,0,0,0,0
-38.438,-41.3299,0,0,0,0,0,0
-38.428,-41.3199,0,0,0,0,0,0
-38.418,-41.3099,0,0,0,0,0,0
-38.408,-41.2999,0,0,0,0,0,0
-38.398,-41.2899,0,0,0,0,0,0
-38.388,-41.2799,0,0,0,0,0,0
-38.378,-41.2699,0,0,0,0,0,0
-38.368,-41.2599,0,0,0,0,0,0
-38.358,-41.2499,0,0,0,0,0,0
-38.348,-41.2399,0,0,0,0,0,0
-38.338,-41.2299,0,0,0,0,0,0
-38.328,-41.2199,0,0,0,0,0,0
-38.318,-41.2099,0,0,0,0,0,0
-38.308,-41.1999,0,0,0,0,0,0
-38.298,-41.1899,0,0,0,0,0,0
-38.288,-41.1799,0,0,0,0,0,0
-38.278,-41.1699,0,0,0,0,0,0
-38.268,-41.1599,0,0,0,0,0,0
-38.258,-41.1499,0,0,0,0,0,0
-38.248,-41.1399,0,0,0,0,0,0
-38.238,-41.1299,0,0,0,0,0,0
-38.228,-41.1199,0,0,0,0,0,0
-38.218,-41.1099,0,0,0,0,0,0
-38.208,-41.0999,0,0,0,0,0,0
-38.198,-41.0899,0,0,0,0,0,0
-38.188,-41.0799,0,0,0,0,0,0
-38.178,-41.0699,0,0,0,0,0,0
-38.168,-41.0599,0,0,0,0,0,0
-38.158,-41.0499,0,0,0,0,0,0
-38.148,-41.0399,0,0,0,0,0,0
-38.138,-41.0299,0,0,0,0,0,0
-38.128,-41.0199,0,0,0,0,0,0
-38.118,-41.0099,0,0,0,0,0,0
-38.108,-40.9999,0,0,0,0,0,0
-38.098,-40.9899,0,0,0,0,0,0
-38.088,-40.9799,0,0,0,0,0,0
-38.078,-40.9699,0,0,0,0,0,0
-38.068,-40.9599,0,0,0,0,0,0
-38.058,-40.9499,0,0,0,0,0,0
-38.048,-40.9399,0,0,0,0,0,0
-38.038,-40.9299,0,0,0,0,0,0
-38.028,-40.9199,0,0,0,0,0,0
-38.018,-40.9099,0,0,0,0,0,0
-38.008,-40.8999,0,0,0,0,0,0
-37.998,-40.8899,0,0,0,0,0,0
-37.988,-40.8799,0,0,0,0,0,0
-37.978,-40.8699,0,0,0,0,0,0
-37.968,-40.8599,0,0,0,0,0,0
-37.958,-40.8499,0,0,0,0,0,0
-37.948,-40.8399,0,0,0,0,0,0
-37.938,-40.8299,0,0,0,0,0,0
-37.928,-40.8199,0,0,0,0,0,0
-37.918,-40.8099,0,0,0,0,0,0
-37.908,-40.7999,0,0,0,0,0,0
-37.898,-40.7899,0,0,0,0,0,0
-37.888,-40.7799,0,0,0,0,0,0
-37.878,-40.7699,0,0,0,0,0,0
-37.868,-40.7599,0,0,0,0,0,0
-37.858,-40.7499,0,0,0,0,0,0
-37.848,-40.7399,0,0,0,0,0,0
-37.838,-40.7299,0,0,0,0,0,0
-37.828,-40.7199,0,0,0,0,0,0
-37.818,-40.7099,0,0,0,0,0,0
-37.808,-40.6999,0,0,0,0,0,0
-37.798,-40.6899,0,0,0,0,0,0
-37.788,-40.6799,0,0,0,0,0,0
-37.778,-40.6699,0,0,0,0,0,0
-37.768,-40.6599,0,0,0,0,0,0
-37.758,-40.6499,0,0,0,0,0,0
-37.748,-40.6399,0,0,0,0,0,0
-37.738,-40.6299,0,0,0,0,0,0
-37.728,-40.6199,0,0,0,0,0,0
-37.718,-40.6099,0,0,0,0,0,0
-37.708,-40.5999,0,0,0,0,0,0
-37.698,-40.5899,0,0,0,0,0,0
-37.688,-40.5799,0,0,0,0,0,0
-37.678,-40.5699,0,0,0,0,0,0
-37.668,-40.5599,0,0,0,0,0,0
-37.658,-40.5499,0,0,0,0,0,0
-37.648,-40.5399,0,0,0,0,0,0
-37.638,-40.5299,0,0,0,0,0,0
-37.628,-40.5199,0,0,0,0,0,0
-37.618,-40.5099,0,0,0,0,0,0
-37.608,-40.4999,0,0,0,0,0,0
-37.598,-40.4899,0,0,0,0,0,0
-37.588,-40.4799,0,0,0,0,0,0
-37.578,-40.4699,0,0,0,0,0,0
-37.568,-40.4599,0,0,0,0,0,0
-37.558,-40.4499,0,0,0,0,0,0
-37.548,-40.4399,0,0,0,0,0,0
-37.538,-40.4299,0,0,0,0,0,0
-37.528,-40.4199,0,0,0,0,0,0
-37.518,-40.4099,0,0,0,0,0,0
-37.508,-40.3999,0,0,0,0,0,0
-37.498,-40.3899,0,0,0,0,0,0
-37.488,-40.3799,0,0,0,0,0,0
-37.478,-40.3699,0,0,0,0,0,0
-37.468,-40.3599,0,0,0,0,0,0
-37.458,-40.3499,0,0,0,0,0,0
-37.448,-40.3399,0,0,0,0,0,0
-37.438,-40.3299,0,0,0,0,0,0
-37.428,-40.3199,0,0,0,0,0,0
-37.418,-40.3099,0,0,0,0,0,0
-37.408,-40.2999,0,0,0,0,0,0
-37.398,-40.2899,0,0,0,0,0,0
-37.388,-40.2799,0,0,0,0,0,0
-37.378,-40.2699,0,0,0,0,0,0
-37.368,-40.2599,0,0,0,0,0,0
-37.358,-40.2499,0,0,0,0,0,0
-37.348,-40.2399,0,0,0,0,0,0
-37.338,-40.2299,0,0,0,0,0,0
-37.328,-40.2199,0,0,0,0,0,0
-37.318,-40.2099,0,0,0,0,0,0
-37.308,-40.1999,0,0,0,0,0,0
-37.298,-40.1899,0,0,0,0,0,0
-37.288,-40.1799,0,0,0,0,0,0
-37.278,-40.1699,0,0,0,0,0,0
-37.268,-40.1599,0,0,0,0,0,0
-37.258,-40.1499,0,0,0,0,0,0
-37.248,-40.1399,0,0,0,0,0,0
-37.238,-40.1299,0,0,0,0,0,0
-37.228,-40.1199,0,0,0,0,0,0
-37.218,-40.1099,0,0,0,0,0,0
-37.208,-40.0999,0,0,0,0,0,0
-37.198,-40.0899,0,0,0,0,0,0
-37.188,-40.0799,0,0,0,0,0,0
-37.178,-40.0699,0,0,0,0,0,0
-37.168,-40.0599,0,0,0,0,0,0
-37.158,-40.0499,0,0,0,0,0,0
-37.148,-40.0399,0,0,0,0,0,0
-37.138,-40.0299,0,0,0,0,0,0
-37.128,-40.0199,0,0,0,0,0,0
-37.118,-40.0099,0,0,0,0,0,0
-37.108,-39.9999,0,0,0,0,0,0
-37.098,-39.9899,0,0,0,0,0,0
-37.088,-39.9799,0,0,0,0,0,0
-37.078,-39.9699,0,0,0,0,0,0
-37.068,-39.9599,0,0,0,0,0,0
-37.058,-39.9499,0,0,0,0,0,0
-37.048,-39.9399,0,0,0,0,0,0
-37.038,-39.9299,0,0,0,0,0,0
-37.028,-39.9199,0,0,0,0,0,0
-37.018,-39.9099,0,0,0,0,0,0
-37.008,-39.8999,0,0,0,0,0,0
-36.998,-39.8899,0,0,0,0,0,0
-36.988,-39.8799,0,0,0,0,0,0
-36.978,-39.8699,0,0,0,0,0,0
-36.968,-39.8599,0,0,0,0,0,0
-36.958,-39.8499,0,0,0,0,0,0
-36.948,-39.8399,0,0,0,0,0,0
-36.938,-39.8299,0,0,0,0,0,0
-36.928,-39.8199,0,0,0,0,0,0
-36.918,-39.8099,0,0,0,0,0,0
-36.908,-39.7999,0,0,0,0,0,0
-36.898,-39.7899,0,0,0,0,0,0
-36.888,-39.7799,0,0,0,0,0,0
-36.878,-39.7699,0,0,0,0,0,0
-36.868,-39.7599,0,0,0,0,0,0
-36.858,-39.7499,0,0,0,0,0,0
-36.848,-39.7399,0,0,0,0,0,0
-36.838,-39.7299,0,0,0,0,0,0
-36.828,-39.7199,0,0,0,0,0,0
-36.818,-39.7099,0,0,0,0,0,0
-36.808,-39.6999,0,0,0,0,0,0
-36.798,-39.6899,0,0,0,0,0,0
-36.788,-39.6799,0,0,0,0,0,0
-36.778,-39.6699,0,0,0,0,0,0
-36.768,-39.6599,0,0,0,0,0,0
-36.758,-39.6499,0,0,0,0,0,0
-36.748,-39.6399,0,0,0,0,0,0
-36.738,-39.6299,0,0,0,0,0,0
-36.728,-39.6199,0,0,0,0,0,0
-36.718,-39.6099,0,0,0,0,0,0
-36.708,-39.5999,0,0,0,0,0,0
-36.698,-39.5899,0,0,0,0,0,0
-36.688,-39.5799,0,0,0,0,0,0
-36.678,-39.5699,0,0,0,0,0,0
-36.668,-39.5599,0,0,0,0,0,0
