# li3po4_mp-13725 total DOS (QE dos.x, degauss 0.007 Ry). VBM 2.892 / CBM 8.804 / gap 5.912 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-37.518,-40.4099,9.674e-85,12
-37.508,-40.3999,9.674e-85,12
-37.498,-40.3899,9.674e-85,12
-37.488,-40.3799,9.674e-85,12
-37.478,-40.3699,9.674e-85,12
-37.468,-40.3599,9.674e-85,12
-37.458,-40.3499,9.674e-85,12
-37.448,-40.3399,9.674e-85,12
-37.438,-40.3299,9.674e-85,12
-37.428,-40.3199,9.674e-85,12
-37.418,-40.3099,9.674e-85,12
-37.408,-40.2999,9.674e-85,12
-37.398,-40.2899,9.674e-85,12
-37.388,-40.2799,9.674e-85,12
-37.378,-40.2699,9.674e-85,12
-37.368,-40.2599,9.674e-85,12
-37.358,-40.2499,9.674e-85,12
-37.348,-40.2399,9.674e-85,12
-37.338,-40.2299,9.674e-85,12
-37.328,-40.2199,9.674e-85,12
-37.318,-40.2099,9.674e-85,12
-37.308,-40.1999,9.674e-85,12
-37.298,-40.1899,9.674e-85,12
-37.288,-40.1799,9.674e-85,12
-37.278,-40.1699,9.674e-85,12
-37.268,-40.1599,9.674e-85,12
-37.258,-40.1499,9.674e-85,12
-37.248,-40.1399,9.674e-85,12
-37.238,-40.1299,9.674e-85,12
-37.228,-40.1199,9.674e-85,12
-37.218,-40.1099,9.674e-85,12
-37.208,-40.0999,9.674e-85,12
-37.198,-40.0899,9.674e-85,12
-37.188,-40.0799,9.674e-85,12
-37.178,-40.0699,9.674e-85,12
-37.168,-40.0599,9.674e-85,12
-37.158,-40.0499,9.674e-85,12
-37.148,-40.0399,9.674e-85,12
-37.138,-40.0299,9.674e-85,12
-37.128,-40.0199,9.674e-85,12
-37.118,-40.0099,9.674e-85,12
-37.108,-39.9999,9.674e-85,12
-37.098,-39.9899,9.674e-85,12
-37.088,-39.9799,9.674e-85,12
-37.078,-39.9699,9.674e-85,12
-37.068,-39.9599,9.674e-85,12
-37.058,-39.9499,9.674e-85,12
-37.048,-39.9399,9.674e-85,12
-37.038,-39.9299,9.674e-85,12
-37.028,-39.9199,9.674e-85,12
-37.018,-39.9099,9.674e-85,12
-37.008,-39.8999,9.674e-85,12
-36.998,-39.8899,9.674e-85,12
-36.988,-39.8799,9.674e-85,12
-36.978,-39.8699,9.674e-85,12
-36.968,-39.8599,9.674e-85,12
-36.958,-39.8499,9.674e-85,12
-36.948,-39.8399,9.674e-85,12
-36.938,-39.8299,9.674e-85,12
-36.928,-39.8199,9.674e-85,12
-36.918,-39.8099,9.674e-85,12
-36.908,-39.7999,9.674e-85,12
-36.898,-39.7899,9.674e-85,12
-36.888,-39.7799,9.674e-85,12
-36.878,-39.7699,9.674e-85,12
-36.868,-39.7599,9.674e-85,12
-36.858,-39.7499,9.674e-85,12
-36.848,-39.7399,9.674e-85,12
-36.838,-39.7299,9.674e-85,12
-36.828,-39.7199,9.674e-85,12
-36.818,-39.7099,9.674e-85,12
-36.808,-39.6999,9.674e-85,12
-36.798,-39.6899,9.674e-85,12
-36.788,-39.6799,9.674e-85,12
-36.778,-39.6699,9.674e-85,12
-36.768,-39.6599,9.674e-85,12
-36.758,-39.6499,9.674e-85,12
-36.748,-39.6399,9.674e-85,12
-36.738,-39.6299,9.674e-85,12
-36.728,-39.6199,9.674e-85,12
-36.718,-39.6099,9.674e-85,12
-36.708,-39.5999,9.674e-85,12
-36.698,-39.5899,9.674e-85,12
-36.688,-39.5799,9.674e-85,12
-36.678,-39.5699,9.674e-85,12
-36.668,-39.5599,9.674e-85,12
-36.658,-39.5499,9.674e-85,12
-36.648,-39.5399,9.674e-85,12
-36.638,-39.5299,9.674e-85,12
-36.628,-39.5199,9.674e-85,12
-36.618,-39.5099,9.674e-85,12
-36.608,-39.4999,9.674e-85,12
-36.598,-39.4899,9.674e-85,12
-36.588,-39.4799,9.674e-85,12
-36.578,-39.4699,9.674e-85,12
-36.568,-39.4599,9.674e-85,12
-36.558,-39.4499,9.674e-85,12
-36.548,-39.4399,9.674e-85,12
-36.538,-39.4299,9.674e-85,12
-36.528,-39.4199,9.674e-85,12
-36.518,-39.4099,9.674e-85,12
-36.508,-39.3999,9.674e-85,12
-36.498,-39.3899,9.674e-85,12
-36.488,-39.3799,9.674e-85,12
-36.478,-39.3699,9.674e-85,12
-36.468,-39.3599,9.674e-85,12
-36.458,-39.3499,9.674e-85,12
-36.448,-39.3399,9.674e-85,12
-36.438,-39.3299,9.674e-85,12
-36.428,-39.3199,9.674e-85,12
-36.418,-39.3099,9.674e-85,12
-36.408,-39.2999,9.674e-85,12
-36.398,-39.2899,9.674e-85,12
-36.388,-39.2799,9.674e-85,12
-36.378,-39.2699,9.674e-85,12
-36.368,-39.2599,9.674e-85,12
-36.358,-39.2499,9.674e-85,12
-36.348,-39.2399,9.674e-85,12
-36.338,-39.2299,9.674e-85,12
-36.328,-39.2199,9.674e-85,12
-36.318,-39.2099,9.674e-85,12
-36.308,-39.1999,9.674e-85,12
-36.298,-39.1899,9.674e-85,12
-36.288,-39.1799,9.674e-85,12
-36.278,-39.1699,9.674e-85,12
-36.268,-39.1599,9.674e-85,12
-36.258,-39.1499,9.674e-85,12
-36.248,-39.1399,9.674e-85,12
-36.238,-39.1299,9.674e-85,12
-36.228,-39.1199,9.674e-85,12
-36.218,-39.1099,9.674e-85,12
-36.208,-39.0999,9.674e-85,12
-36.198,-39.0899,9.674e-85,12
-36.188,-39.0799,9.674e-85,12
-36.178,-39.0699,9.674e-85,12
-36.168,-39.0599,9.674e-85,12
-36.158,-39.0499,9.674e-85,12
-36.148,-39.0399,9.674e-85,12
-36.138,-39.0299,9.674e-85,12
-36.128,-39.0199,9.674e-85,12
-36.118,-39.0099,9.674e-85,12
-36.108,-38.9999,9.674e-85,12
-36.098,-38.9899,9.674e-85,12
-36.088,-38.9799,9.674e-85,12
-36.078,-38.9699,9.674e-85,12
-36.068,-38.9599,9.674e-85,12
-36.058,-38.9499,9.674e-85,12
-36.048,-38.9399,9.674e-85,12
-36.038,-38.9299,9.674e-85,12
-36.028,-38.9199,9.674e-85,12
-36.018,-38.9099,9.674e-85,12
-36.008,-38.8999,9.674e-85,12
-35.998,-38.8899,9.674e-85,12
-35.988,-38.8799,9.674e-85,12
-35.978,-38.8699,9.674e-85,12
-35.968,-38.8599,9.674e-85,12
-35.958,-38.8499,9.674e-85,12
-35.948,-38.8399,9.674e-85,12
-35.938,-38.8299,9.674e-85,12
-35.928,-38.8199,9.674e-85,12
-35.918,-38.8099,9.674e-85,12
-35.908,-38.7999,9.674e-85,12
-35.898,-38.7899,9.674e-85,12
-35.888,-38.7799,9.674e-85,12
-35.878,-38.7699,9.674e-85,12
-35.868,-38.7599,9.674e-85,12
-35.858,-38.7499,9.674e-85,12
-35.848,-38.7399,9.674e-85,12
-35.838,-38.7299,9.674e-85,12
-35.828,-38.7199,9.674e-85,12
-35.818,-38.7099,9.674e-85,12
-35.808,-38.6999,9.674e-85,12
-35.798,-38.6899,9.674e-85,12
-35.788,-38.6799,9.674e-85,12
-35.778,-38.6699,9.674e-85,12
-35.768,-38.6599,9.674e-85,12
-35.758,-38.6499,9.674e-85,12
-35.748,-38.6399,9.674e-85,12
-35.738,-38.6299,9.674e-85,12
-35.728,-38.6199,9.674e-85,12
-35.718,-38.6099,9.674e-85,12
-35.708,-38.5999,9.674e-85,12
-35.698,-38.5899,9.674e-85,12
-35.688,-38.5799,9.674e-85,12
-35.678,-38.5699,9.674e-85,12
-35.668,-38.5599,9.674e-85,12
-35.658,-38.5499,9.674e-85,12
-35.648,-38.5399,9.674e-85,12
-35.638,-38.5299,9.674e-85,12
-35.628,-38.5199,9.674e-85,12
-35.618,-38.5099,9.674e-85,12
-35.608,-38.4999,9.674e-85,12
-35.598,-38.4899,9.674e-85,12
-35.588,-38.4799,9.674e-85,12
-35.578,-38.4699,9.674e-85,12
-35.568,-38.4599,9.674e-85,12
-35.558,-38.4499,9.674e-85,12
-35.548,-38.4399,9.674e-85,12
-35.538,-38.4299,9.674e-85,12
-35.528,-38.4199,9.674e-85,12
-35.518,-38.4099,9.674e-85,12
-35.508,-38.3999,9.674e-85,12
-35.498,-38.3899,9.674e-85,12
-35.488,-38.3799,9.674e-85,12
-35.478,-38.3699,9.674e-85,12
-35.468,-38.3599,9.674e-85,12
-35.458,-38.3499,9.674e-85,12
-35.448,-38.3399,9.674e-85,12
-35.438,-38.3299,9.674e-85,12
-35.428,-38.3199,9.674e-85,12
-35.418,-38.3099,9.674e-85,12
-35.408,-38.2999,9.674e-85,12
-35.398,-38.2899,9.674e-85,12
-35.388,-38.2799,9.674e-85,12
-35.378,-38.2699,9.674e-85,12
-35.368,-38.2599,9.674e-85,12
-35.358,-38.2499,9.674e-85,12
-35.348,-38.2399,9.674e-85,12
-35.338,-38.2299,9.674e-85,12
-35.328,-38.2199,9.674e-85,12
-35.318,-38.2099,9.674e-85,12
-35.308,-38.1999,9.674e-85,12
-35.298,-38.1899,9.674e-85,12
-35.288,-38.1799,9.674e-85,12
-35.278,-38.1699,9.674e-85,12
-35.268,-38.1599,9.674e-85,12
-35.258,-38.1499,9.674e-85,12
-35.248,-38.1399,9.674e-85,12
-35.238,-38.1299,9.674e-85,12
-35.228,-38.1199,9.674e-85,12
-35.218,-38.1099,9.674e-85,12
-35.208,-38.0999,9.674e-85,12
-35.198,-38.0899,9.674e-85,12
-35.188,-38.0799,9.674e-85,12
-35.178,-38.0699,9.674e-85,12
-35.168,-38.0599,9.674e-85,12
-35.158,-38.0499,9.674e-85,12
-35.148,-38.0399,9.674e-85,12
-35.138,-38.0299,9.674e-85,12
-35.128,-38.0199,9.674e-85,12
-35.118,-38.0099,9.674e-85,12
-35.108,-37.9999,9.674e-85,12
-35.098,-37.9899,9.674e-85,12
-35.088,-37.9799,9.674e-85,12
-35.078,-37.9699,9.674e-85,12
-35.068,-37.9599,9.674e-85,12
-35.058,-37.9499,9.674e-85,12
-35.048,-37.9399,9.674e-85,12
-35.038,-37.9299,9.674e-85,12
-35.028,-37.9199,9.674e-85,12
-35.018,-37.9099,9.674e-85,12
-35.008,-37.8999,9.674e-85,12
-34.998,-37.8899,9.674e-85,12
-34.988,-37.8799,9.674e-85,12
-34.978,-37.8699,9.674e-85,12
-34.968,-37.8599,9.674e-85,12
-34.958,-37.8499,9.674e-85,12
-34.948,-37.8399,9.674e-85,12
-34.938,-37.8299,9.674e-85,12
-34.928,-37.8199,9.674e-85,12
-34.918,-37.8099,9.674e-85,12
-34.908,-37.7999,9.674e-85,12
-34.898,-37.7899,9.674e-85,12
-34.888,-37.7799,9.674e-85,12
-34.878,-37.7699,9.674e-85,12
-34.868,-37.7599,9.674e-85,12
-34.858,-37.7499,9.674e-85,12
-34.848,-37.7399,9.674e-85,12
-34.838,-37.7299,9.674e-85,12
-34.828,-37.7199,9.674e-85,12
-34.818,-37.7099,9.674e-85,12
-34.808,-37.6999,9.674e-85,12
-34.798,-37.6899,9.674e-85,12
-34.788,-37.6799,9.674e-85,12
-34.778,-37.6699,9.674e-85,12
-34.768,-37.6599,9.674e-85,12
-34.758,-37.6499,9.674e-85,12
-34.748,-37.6399,9.674e-85,12
-34.738,-37.6299,9.674e-85,12
-34.728,-37.6199,9.674e-85,12
-34.718,-37.6099,9.674e-85,12
-34.708,-37.5999,9.674e-85,12
-34.698,-37.5899,9.674e-85,12
-34.688,-37.5799,9.674e-85,12
-34.678,-37.5699,9.674e-85,12
-34.668,-37.5599,9.674e-85,12
-34.658,-37.5499,9.674e-85,12
-34.648,-37.5399,9.674e-85,12
-34.638,-37.5299,9.674e-85,12
-34.628,-37.5199,9.674e-85,12
-34.618,-37.5099,9.674e-85,12
-34.608,-37.4999,9.674e-85,12
-34.598,-37.4899,9.674e-85,12
-34.588,-37.4799,9.674e-85,12
-34.578,-37.4699,9.674e-85,12
-34.568,-37.4599,9.674e-85,12
-34.558,-37.4499,9.674e-85,12
-34.548,-37.4399,9.674e-85,12
-34.538,-37.4299,9.674e-85,12
-34.528,-37.4199,9.674e-85,12
-34.518,-37.4099,9.674e-85,12
-34.508,-37.3999,9.674e-85,12
-34.498,-37.3899,9.674e-85,12
-34.488,-37.3799,9.674e-85,12
-34.478,-37.3699,9.674e-85,12
-34.468,-37.3599,9.674e-85,12
-34.458,-37.3499,9.674e-85,12
-34.448,-37.3399,9.674e-85,12
-34.438,-37.3299,9.674e-85,12
-34.428,-37.3199,9.674e-85,12
-34.418,-37.3099,9.674e-85,12
-34.408,-37.2999,9.674e-85,12
-34.398,-37.2899,9.674e-85,12
-34.388,-37.2799,9.674e-85,12
-34.378,-37.2699,9.674e-85,12
-34.368,-37.2599,9.674e-85,12
-34.358,-37.2499,9.674e-85,12
-34.348,-37.2399,9.674e-85,12
-34.338,-37.2299,9.674e-85,12
-34.328,-37.2199,9.674e-85,12
-34.318,-37.2099,9.674e-85,12
-34.308,-37.1999,9.674e-85,12
-34.298,-37.1899,9.674e-85,12
-34.288,-37.1799,9.674e-85,12
-34.278,-37.1699,9.674e-85,12
-34.268,-37.1599,9.674e-85,12
-34.258,-37.1499,9.674e-85,12
-34.248,-37.1399,9.674e-85,12
-34.238,-37.1299,9.674e-85,12
-34.228,-37.1199,9.674e-85,12
-34.218,-37.1099,9.674e-85,12
-34.208,-37.0999,9.674e-85,12
-34.198,-37.0899,9.674e-85,12
-34.188,-37.0799,9.674e-85,12
-34.178,-37.0699,9.674e-85,12
-34.168,-37.0599,9.674e-85,12
-34.158,-37.0499,9.674e-85,12
-34.148,-37.0399,9.674e-85,12
