# licl_mp-22905 total DOS (QE dos.x, degauss 0.007 Ry). VBM 1.576 / CBM 7.836 / gap 6.260 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-38.708,-40.2836,9.182e-85,8
-38.698,-40.2736,9.182e-85,8
-38.688,-40.2636,9.182e-85,8
-38.678,-40.2536,9.182e-85,8
-38.668,-40.2436,9.182e-85,8
-38.658,-40.2336,9.182e-85,8
-38.648,-40.2236,9.182e-85,8
-38.638,-40.2136,9.182e-85,8
-38.628,-40.2036,9.182e-85,8
-38.618,-40.1936,9.182e-85,8
-38.608,-40.1836,9.182e-85,8
-38.598,-40.1736,9.182e-85,8
-38.588,-40.1636,9.182e-85,8
-38.578,-40.1536,9.182e-85,8
-38.568,-40.1436,9.182e-85,8
-38.558,-40.1336,9.182e-85,8
-38.548,-40.1236,9.182e-85,8
-38.538,-40.1136,9.182e-85,8
-38.528,-40.1036,9.182e-85,8
-38.518,-40.0936,9.182e-85,8
-38.508,-40.0836,9.182e-85,8
-38.498,-40.0736,9.182e-85,8
-38.488,-40.0636,9.182e-85,8
-38.478,-40.0536,9.182e-85,8
-38.468,-40.0436,9.182e-85,8
-38.458,-40.0336,9.182e-85,8
-38.448,-40.0236,9.182e-85,8
-38.438,-40.0136,9.182e-85,8
-38.428,-40.0036,9.182e-85,8
-38.418,-39.9936,9.182e-85,8
-38.408,-39.9836,9.182e-85,8
-38.398,-39.9736,9.182e-85,8
-38.388,-39.9636,9.182e-85,8
-38.378,-39.9536,9.182e-85,8
-38.368,-39.9436,9.182e-85,8
-38.358,-39.9336,9.182e-85,8
-38.348,-39.9236,9.182e-85,8
-38.338,-39.9136,9.182e-85,8
-38.328,-39.9036,9.182e-85,8
-38.318,-39.8936,9.182e-85,8
-38.308,-39.8836,9.182e-85,8
-38.298,-39.8736,9.182e-85,8
-38.288,-39.8636,9.182e-85,8
-38.278,-39.8536,9.182e-85,8
-38.268,-39.8436,9.182e-85,8
-38.258,-39.8336,9.182e-85,8
-38.248,-39.8236,9.182e-85,8
-38.238,-39.8136,9.182e-85,8
-38.228,-39.8036,9.182e-85,8
-38.218,-39.7936,9.182e-85,8
-38.208,-39.7836,9.182e-85,8
-38.198,-39.7736,9.182e-85,8
-38.188,-39.7636,9.182e-85,8
-38.178,-39.7536,9.182e-85,8
-38.168,-39.7436,9.182e-85,8
-38.158,-39.7336,9.182e-85,8
-38.148,-39.7236,9.182e-85,8
-38.138,-39.7136,9.182e-85,8
-38.128,-39.7036,9.182e-85,8
-38.118,-39.6936,9.182e-85,8
-38.108,-39.6836,9.182e-85,8
-38.098,-39.6736,9.182e-85,8
-38.088,-39.6636,9.182e-85,8
-38.078,-39.6536,9.182e-85,8
-38.068,-39.6436,9.182e-85,8
-38.058,-39.6336,9.182e-85,8
-38.048,-39.6236,9.182e-85,8
-38.038,-39.6136,9.182e-85,8
-38.028,-39.6036,9.182e-85,8
-38.018,-39.5936,9.182e-85,8
