# nd2s3_mp-438 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 10.881 eV. Gap is the fixed-occ nscf value (-0.021 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Nd_d,Nd_f,Nd_p,Nd_s,S_p,S_s
-25.858,-36.7388,0.0009176,0.0004801,0.000250852,0.063282,0.0012872,6.7e-05
-25.848,-36.7288,0.0005308,0.000276984,0.000144844,0.0367092,0.000744,3.856e-05
-25.838,-36.7188,0.0003004,0.000156556,8.1888e-05,0.0207868,0.0004216,2.168e-05
-25.828,-36.7088,0.00016612,8.6868e-05,4.52336e-05,0.0114877,0.00023384,1.1928e-05
-25.818,-36.6988,9.02e-05,4.69268e-05,2.4478e-05,0.006229,0.00012664,6.444e-06
-25.808,-36.6888,4.784e-05,2.48484e-05,1.29548e-05,0.00330868,6.72e-05,3.396e-06
-25.798,-36.6788,2.484e-05,1.28459e-05,6.70004e-06,0.00171676,3.488e-05,1.7564e-06
-25.788,-36.6688,1.26e-05,6.51928e-06,3.40252e-06,0.00087038,1.7748e-05,8.856e-07
-25.778,-36.6588,6.256e-06,3.23556e-06,1.68712e-06,0.00043104,8.8e-06,4.376e-07
-25.768,-36.6488,3.04e-06,1.57362e-06,8.1928e-07,0.00021058,4.276e-06,2.116e-07
-25.758,-36.6388,1.4452e-06,7.47068e-07,3.88796e-07,9.99904e-05,2.0376e-06,1.0024e-07
-25.748,-36.6288,6.736e-07,3.4684e-07,1.8044e-07,4.67352e-05,9.488e-07,4.632e-08
-25.738,-36.6188,3.064e-07,1.57765e-07,8.2208e-08,2.12124e-05,4.312e-07,2.096e-08
-25.728,-36.6088,1.3652e-07,7.00912e-08,3.65316e-08,9.42724e-06,1.9212e-07,9.288e-09
-25.718,-36.5988,5.944e-08,3.05496e-08,1.58588e-08,4.10388e-06,8.372e-08,4.028e-09
-25.708,-36.5888,2.54e-08,1.30067e-08,6.75608e-09,1.75516e-06,3.568e-08,1.7092e-09
-25.698,-36.5788,1.0576e-08,5.41148e-09,2.81568e-09,7.31208e-07,1.486e-08,7.088e-10
-25.688,-36.5688,4.316e-09,2.20794e-09,1.14808e-09,2.9854e-07,6.076e-09,2.876e-10
-25.678,-36.5588,1.7236e-09,8.80368e-10,4.57536e-10,1.19005e-07,2.4288e-09,1.1434e-10
-25.668,-36.5488,6.732e-10,3.42836e-10,1.784e-10,4.67064e-08,9.484e-10,4.436e-11
-25.658,-36.5388,2.572e-10,1.30872e-10,6.83224e-11,1.77904e-08,3.624e-10,1.6872e-11
-25.648,-36.5288,9.616e-11,4.88964e-11,2.54448e-11,6.66112e-09,1.3512e-10,6.276e-12
-25.638,-36.5188,3.52e-11,1.78645e-11,9.3164e-12,2.43312e-09,4.956e-11,2.288e-12
-25.628,-36.5088,1.2232e-11,6.18244e-12,3.20008e-12,8.44772e-10,1.728e-11,7.656e-13
-25.618,-36.4988,3.572e-12,1.77457e-12,9.1048e-13,2.51168e-10,5.12e-12,2.004e-13
-25.608,-36.4888,0,0,0,0,0,0
-25.598,-36.4788,0,0,0,0,0,0
-25.588,-36.4688,0,0,0,0,0,0
-25.578,-36.4588,0,0,0,0,0,0
-25.568,-36.4488,0,0,0,0,0,0
-25.558,-36.4388,0,0,0,0,0,0
-25.548,-36.4288,0,0,0,0,0,0
-25.538,-36.4188,0,0,0,0,0,0
-25.528,-36.4088,0,0,0,0,0,0
-25.518,-36.3988,0,0,0,0,0,0
-25.508,-36.3888,0,0,0,0,0,0
-25.498,-36.3788,0,0,0,0,0,0
-25.488,-36.3688,0,0,0,0,0,0
-25.478,-36.3588,0,0,0,0,0,0
-25.468,-36.3488,0,0,0,0,0,0
-25.458,-36.3388,0,0,0,0,0,0
-25.448,-36.3288,0,0,0,0,0,0
-25.438,-36.3188,0,0,0,0,0,0
-25.428,-36.3088,0,0,0,0,0,0
-25.418,-36.2988,0,0,0,0,0,0
-25.408,-36.2888,0,0,0,0,0,0
-25.398,-36.2788,0,0,0,0,0,0
-25.388,-36.2688,0,0,0,0,0,0
-25.378,-36.2588,0,0,0,0,0,0
-25.368,-36.2488,0,0,0,0,0,0
-25.358,-36.2388,0,0,0,0,0,0
-25.348,-36.2288,0,0,0,0,0,0
-25.338,-36.2188,0,0,0,0,0,0
-25.328,-36.2088,0,0,0,0,0,0
-25.318,-36.1988,0,0,0,0,0,0
-25.308,-36.1888,0,0,0,0,0,0
-25.298,-36.1788,0,0,0,0,0,0
-25.288,-36.1688,0,0,0,0,0,0
-25.278,-36.1588,0,0,0,0,0,0
-25.268,-36.1488,0,0,0,0,0,0
-25.258,-36.1388,0,0,0,0,0,0
-25.248,-36.1288,0,0,0,0,0,0
-25.238,-36.1188,0,0,0,0,0,0
-25.228,-36.1088,0,0,0,0,0,0
-25.218,-36.0988,0,0,0,0,0,0
-25.208,-36.0888,0,0,0,0,0,0
-25.198,-36.0788,0,0,0,0,0,0
-25.188,-36.0688,0,0,0,0,0,0
-25.178,-36.0588,0,0,0,0,0,0
-25.168,-36.0488,0,0,0,0,0,0
-25.158,-36.0388,0,0,0,0,0,0
-25.148,-36.0288,0,0,0,0,0,0
-25.138,-36.0188,0,0,0,0,0,0
-25.128,-36.0088,0,0,0,0,0,0
-25.118,-35.9988,0,0,0,0,0,0
-25.108,-35.9888,0,0,0,0,0,0
-25.098,-35.9788,0,0,0,0,0,0
-25.088,-35.9688,0,0,0,0,0,0
-25.078,-35.9588,0,0,0,0,0,0
-25.068,-35.9488,0,0,0,0,0,0
-25.058,-35.9388,0,0,0,0,0,0
-25.048,-35.9288,0,0,0,0,0,0
-25.038,-35.9188,0,0,0,0,0,0
-25.028,-35.9088,0,0,0,0,0,0
-25.018,-35.8988,0,0,0,0,0,0
-25.008,-35.8888,0,0,0,0,0,0
-24.998,-35.8788,0,0,0,0,0,0
-24.988,-35.8688,0,0,0,0,0,0
-24.978,-35.8588,0,0,0,0,0,0
-24.968,-35.8488,0,0,0,0,0,0
-24.958,-35.8388,0,0,0,0,0,0
-24.948,-35.8288,0,0,0,0,0,0
-24.938,-35.8188,0,0,0,0,0,0
-24.928,-35.8088,0,0,0,0,0,0
-24.918,-35.7988,0,0,0,0,0,0
-24.908,-35.7888,0,0,0,0,0,0
-24.898,-35.7788,0,0,0,0,0,0
-24.888,-35.7688,0,0,0,0,0,0
-24.878,-35.7588,0,0,0,0,0,0
-24.868,-35.7488,0,0,0,0,0,0
-24.858,-35.7388,0,0,0,0,0,0
-24.848,-35.7288,0,0,0,0,0,0
-24.838,-35.7188,0,0,0,0,0,0
-24.828,-35.7088,0,0,0,0,0,0
-24.818,-35.6988,0,0,0,0,0,0
-24.808,-35.6888,0,0,0,0,0,0
-24.798,-35.6788,0,0,0,0,0,0
-24.788,-35.6688,0,0,0,0,0,0
-24.778,-35.6588,0,0,0,0,0,0
-24.768,-35.6488,0,0,0,0,0,0
-24.758,-35.6388,0,0,0,0,0,0
-24.748,-35.6288,0,0,0,0,0,0
-24.738,-35.6188,0,0,0,0,0,0
-24.728,-35.6088,0,0,0,0,0,0
-24.718,-35.5988,0,0,0,0,0,0
-24.708,-35.5888,0,0,0,0,0,0
-24.698,-35.5788,0,0,0,0,0,0
-24.688,-35.5688,0,0,0,0,0,0
-24.678,-35.5588,0,0,0,0,0,0
-24.668,-35.5488,0,0,0,0,0,0
-24.658,-35.5388,0,0,0,0,0,0
-24.648,-35.5288,0,0,0,0,0,0
-24.638,-35.5188,0,0,0,0,0,0
-24.628,-35.5088,0,0,0,0,0,0
-24.618,-35.4988,0,0,0,0,0,0
-24.608,-35.4888,0,0,0,0,0,0
-24.598,-35.4788,0,0,0,0,0,0
-24.588,-35.4688,0,0,0,0,0,0
-24.578,-35.4588,0,0,0,0,0,0
-24.568,-35.4488,0,0,0,0,0,0
-24.558,-35.4388,0,0,0,0,0,0
-24.548,-35.4288,0,0,0,0,0,0
-24.538,-35.4188,0,0,0,0,0,0
-24.528,-35.4088,0,0,0,0,0,0
-24.518,-35.3988,0,0,0,0,0,0
-24.508,-35.3888,0,0,0,0,0,0
-24.498,-35.3788,0,0,0,0,0,0
-24.488,-35.3688,0,0,0,0,0,0
-24.478,-35.3588,0,0,0,0,0,0
-24.468,-35.3488,0,0,0,0,0,0
-24.458,-35.3388,0,0,0,0,0,0
-24.448,-35.3288,0,0,0,0,0,0
-24.438,-35.3188,0,0,0,0,0,0
-24.428,-35.3088,0,0,0,0,0,0
-24.418,-35.2988,0,0,0,0,0,0
-24.408,-35.2888,0,0,0,0,0,0
-24.398,-35.2788,0,0,0,0,0,0
-24.388,-35.2688,0,0,0,0,0,0
-24.378,-35.2588,0,0,0,0,0,0
-24.368,-35.2488,0,0,0,0,0,0
-24.358,-35.2388,0,0,0,0,0,0
-24.348,-35.2288,0,0,0,0,0,0
-24.338,-35.2188,0,0,0,0,0,0
-24.328,-35.2088,0,0,0,0,0,0
-24.318,-35.1988,0,0,0,0,0,0
-24.308,-35.1888,0,0,0,0,0,0
-24.298,-35.1788,0,0,0,0,0,0
-24.288,-35.1688,0,0,0,0,0,0
-24.278,-35.1588,0,0,0,0,0,0
-24.268,-35.1488,0,0,0,0,0,0
-24.258,-35.1388,0,0,0,0,0,0
-24.248,-35.1288,0,0,0,0,0,0
-24.238,-35.1188,0,0,0,0,0,0
-24.228,-35.1088,0,0,0,0,0,0
-24.218,-35.0988,0,0,0,0,0,0
-24.208,-35.0888,0,0,0,0,0,0
-24.198,-35.0788,0,0,0,0,0,0
-24.188,-35.0688,0,0,0,0,0,0
-24.178,-35.0588,0,0,0,0,0,0
-24.168,-35.0488,0,0,0,0,0,0
-24.158,-35.0388,0,0,0,0,0,0
-24.148,-35.0288,0,0,0,0,0,0
-24.138,-35.0188,0,0,0,0,0,0
-24.128,-35.0088,0,0,0,0,0,0
-24.118,-34.9988,0,0,0,0,0,0
-24.108,-34.9888,0,0,0,0,0,0
-24.098,-34.9788,0,0,0,0,0,0
-24.088,-34.9688,0,0,0,0,0,0
-24.078,-34.9588,0,0,0,0,0,0
-24.068,-34.9488,0,0,0,0,0,0
-24.058,-34.9388,0,0,0,0,0,0
-24.048,-34.9288,0,0,0,0,0,0
-24.038,-34.9188,0,0,0,0,0,0
-24.028,-34.9088,0,0,0,0,0,0
-24.018,-34.8988,0,0,0,0,0,0
-24.008,-34.8888,0,0,0,0,0,0
-23.998,-34.8788,0,0,0,0,0,0
-23.988,-34.8688,0,0,0,0,0,0
-23.978,-34.8588,0,0,0,0,0,0
-23.968,-34.8488,0,0,0,0,0,0
-23.958,-34.8388,0,0,0,0,0,0
-23.948,-34.8288,0,0,0,0,0,0
-23.938,-34.8188,0,0,0,0,0,0
-23.928,-34.8088,0,0,0,0,0,0
-23.918,-34.7988,0,0,0,0,0,0
-23.908,-34.7888,0,0,0,0,0,0
-23.898,-34.7788,0,0,0,0,0,0
-23.888,-34.7688,0,0,0,0,0,0
-23.878,-34.7588,0,0,0,0,0,0
-23.868,-34.7488,0,0,0,0,0,0
-23.858,-34.7388,0,0,0,0,0,0
-23.848,-34.7288,0,0,0,0,0,0
-23.838,-34.7188,0,0,0,0,0,0
-23.828,-34.7088,0,0,0,0,0,0
-23.818,-34.6988,0,0,0,0,0,0
-23.808,-34.6888,0,0,0,0,0,0
-23.798,-34.6788,0,0,0,0,0,0
-23.788,-34.6688,0,0,0,0,0,0
-23.778,-34.6588,0,0,0,0,0,0
-23.768,-34.6488,0,0,0,0,0,0
-23.758,-34.6388,0,0,0,0,0,0
-23.748,-34.6288,0,0,0,0,0,0
-23.738,-34.6188,0,0,0,0,0,0
-23.728,-34.6088,0,0,0,0,0,0
-23.718,-34.5988,0,0,0,0,0,0
-23.708,-34.5888,0,0,0,0,0,0
-23.698,-34.5788,0,0,0,0,0,0
-23.688,-34.5688,0,0,0,0,0,0
-23.678,-34.5588,0,0,0,0,0,0
-23.668,-34.5488,0,0,0,0,0,0
-23.658,-34.5388,0,0,0,0,0,0
-23.648,-34.5288,0,0,0,0,0,0
-23.638,-34.5188,0,0,0,0,0,0
-23.628,-34.5088,0,0,0,0,0,0
-23.618,-34.4988,0,0,0,0,0,0
-23.608,-34.4888,0,0,0,0,0,0
-23.598,-34.4788,0,0,0,0,0,0
-23.588,-34.4688,0,0,0,0,0,0
-23.578,-34.4588,0,0,0,0,0,0
-23.568,-34.4488,0,0,0,0,0,0
-23.558,-34.4388,0,0,0,0,0,0
-23.548,-34.4288,0,0,0,0,0,0
-23.538,-34.4188,0,0,0,0,0,0
-23.528,-34.4088,0,0,0,0,0,0
-23.518,-34.3988,0,0,0,0,0,0
-23.508,-34.3888,0,0,0,0,0,0
-23.498,-34.3788,0,0,0,0,0,0
-23.488,-34.3688,0,0,0,0,0,0
-23.478,-34.3588,0,0,0,0,0,0
-23.468,-34.3488,0,0,0,0,0,0
-23.458,-34.3388,0,0,0,0,0,0
-23.448,-34.3288,0,0,0,0,0,0
-23.438,-34.3188,0,0,0,0,0,0
-23.428,-34.3088,0,0,0,0,0,0
-23.418,-34.2988,0,0,0,0,0,0
-23.408,-34.2888,0,0,0,0,0,0
-23.398,-34.2788,0,0,0,0,0,0
-23.388,-34.2688,0,0,0,0,0,0
-23.378,-34.2588,0,0,0,0,0,0
-23.368,-34.2488,0,0,0,0,0,0
-23.358,-34.2388,0,0,0,0,0,0
-23.348,-34.2288,0,0,0,0,0,0
-23.338,-34.2188,0,0,0,0,0,0
-23.328,-34.2088,0,0,0,0,0,0
-23.318,-34.1988,0,0,0,0,0,0
-23.308,-34.1888,0,0,0,0,0,0
-23.298,-34.1788,0,0,0,0,0,0
-23.288,-34.1688,0,0,0,0,0,0
-23.278,-34.1588,0,0,0,0,0,0
-23.268,-34.1488,0,0,0,0,0,0
-23.258,-34.1388,0,0,0,0,0,0
-23.248,-34.1288,0,0,0,0,0,0
-23.238,-34.1188,0,0,0,0,0,0
-23.228,-34.1088,0,0,0,0,0,0
-23.218,-34.0988,0,0,0,0,0,0
-23.208,-34.0888,0,0,0,0,0,0
-23.198,-34.0788,0,0,0,0,0,0
-23.188,-34.0688,0,0,0,0,0,0
-23.178,-34.0588,0,0,0,0,0,0
-23.168,-34.0488,0,0,0,0,0,0
-23.158,-34.0388,0,0,0,0,0,0
-23.148,-34.0288,0,0,0,0,0,0
-23.138,-34.0188,0,0,0,0,0,0
-23.128,-34.0088,0,0,0,0,0,0
-23.118,-33.9988,0,0,0,0,0,0
-23.108,-33.9888,0,0,0,0,0,0
-23.098,-33.9788,0,0,0,0,0,0
-23.088,-33.9688,0,0,0,0,0,0
-23.078,-33.9588,0,0,0,0,0,0
-23.068,-33.9488,0,0,0,0,0,0
-23.058,-33.9388,0,0,0,0,0,0
-23.048,-33.9288,0,0,0,0,0,0
-23.038,-33.9188,0,0,0,0,0,0
-23.028,-33.9088,0,0,0,0,0,0
-23.018,-33.8988,0,0,0,0,0,0
-23.008,-33.8888,0,0,0,0,0,0
-22.998,-33.8788,0,0,0,0,0,0
-22.988,-33.8688,0,0,0,0,0,0
-22.978,-33.8588,0,0,0,0,0,0
-22.968,-33.8488,0,0,0,0,0,0
-22.958,-33.8388,0,0,0,0,0,0
-22.948,-33.8288,0,0,0,0,0,0
-22.938,-33.8188,0,0,0,0,0,0
-22.928,-33.8088,0,0,0,0,0,0
-22.918,-33.7988,0,0,0,0,0,0
-22.908,-33.7888,0,0,0,0,0,0
-22.898,-33.7788,0,0,0,0,0,0
-22.888,-33.7688,0,0,0,0,0,0
-22.878,-33.7588,0,0,0,0,0,0
-22.868,-33.7488,0,0,0,0,0,0
-22.858,-33.7388,0,0,0,0,0,0
-22.848,-33.7288,0,0,0,0,0,0
-22.838,-33.7188,0,0,0,0,0,0
-22.828,-33.7088,0,0,0,0,0,0
-22.818,-33.6988,0,0,0,0,0,0
-22.808,-33.6888,0,0,0,0,0,0
-22.798,-33.6788,0,0,0,0,0,0
-22.788,-33.6688,0,0,0,0,0,0
-22.778,-33.6588,0,0,0,0,0,0
-22.768,-33.6488,0,0,0,0,0,0
-22.758,-33.6388,0,0,0,0,0,0
-22.748,-33.6288,0,0,0,0,0,0
-22.738,-33.6188,0,0,0,0,0,0
-22.728,-33.6088,0,0,0,0,0,0
-22.718,-33.5988,0,0,0,0,0,0
-22.708,-33.5888,0,0,0,0,0,0
-22.698,-33.5788,0,0,0,0,0,0
-22.688,-33.5688,0,0,0,0,0,0
-22.678,-33.5588,0,0,0,0,0,0
-22.668,-33.5488,0,0,0,0,0,0
-22.658,-33.5388,0,0,0,0,0,0
-22.648,-33.5288,0,0,0,0,0,0
-22.638,-33.5188,0,0,0,0,0,0
-22.628,-33.5088,0,0,0,0,0,0
-22.618,-33.4988,0,0,0,0,0,0
-22.608,-33.4888,0,0,0,0,0,0
-22.598,-33.4788,0,0,0,0,0,0
-22.588,-33.4688,0,0,0,0,0,0
-22.578,-33.4588,0,0,0,0,0,0
-22.568,-33.4488,0,0,0,0,0,0
-22.558,-33.4388,0,0,0,0,0,0
-22.548,-33.4288,0,0,0,0,0,0
-22.538,-33.4188,0,0,0,0,0,0
-22.528,-33.4088,0,0,0,0,0,0
-22.518,-33.3988,0,0,0,0,0,0
-22.508,-33.3888,0,0,0,0,0,0
-22.498,-33.3788,0,0,0,0,0,0
-22.488,-33.3688,0,0,0,0,0,0
-22.478,-33.3588,0,0,0,0,0,0
-22.468,-33.3488,0,0,0,0,0,0
-22.458,-33.3388,0,0,0,0,0,0
-22.448,-33.3288,0,0,0,0,0,0
-22.438,-33.3188,0,0,0,0,0,0
-22.428,-33.3088,0,0,0,0,0,0
-22.418,-33.2988,0,0,0,0,0,0
-22.408,-33.2888,0,0,0,0,0,0
-22.398,-33.2788,0,0,0,0,0,0
-22.388,-33.2688,0,0,0,0,0,0
-22.378,-33.2588,0,0,0,0,0,0
-22.368,-33.2488,0,0,0,0,0,0
-22.358,-33.2388,0,0,0,0,0,0
-22.348,-33.2288,0,0,0,0,0,0
-22.338,-33.2188,0,0,0,0,0,0
-22.328,-33.2088,0,0,0,0,0,0
-22.318,-33.1988,0,0,0,0,0,0
-22.308,-33.1888,0,0,0,0,0,0
-22.298,-33.1788,0,0,0,0,0,0
-22.288,-33.1688,0,0,0,0,0,0
-22.278,-33.1588,0,0,0,0,0,0
-22.268,-33.1488,0,0,0,0,0,0
-22.258,-33.1388,0,0,0,0,0,0
-22.248,-33.1288,0,0,0,0,0,0
-22.238,-33.1188,0,0,0,0,0,0
-22.228,-33.1088,0,0,0,0,0,0
-22.218,-33.0988,0,0,0,0,0,0
-22.208,-33.0888,0,0,0,0,0,0
-22.198,-33.0788,0,0,0,0,0,0
-22.188,-33.0688,0,0,0,0,0,0
-22.178,-33.0588,0,0,0,0,0,0
-22.168,-33.0488,0,0,0,0,0,0
-22.158,-33.0388,0,0,0,0,0,0
-22.148,-33.0288,0,0,0,0,0,0
-22.138,-33.0188,0,0,0,0,0,0
-22.128,-33.0088,0,0,0,0,0,0
-22.118,-32.9988,0,0,0,0,0,0
-22.108,-32.9888,0,0,0,0,0,0
-22.098,-32.9788,0,0,0,0,0,0
-22.088,-32.9688,0,0,0,0,0,0
-22.078,-32.9588,0,0,0,0,0,0
-22.068,-32.9488,0,0,0,0,0,0
-22.058,-32.9388,0,0,0,0,0,0
-22.048,-32.9288,0,0,0,0,0,0
-22.038,-32.9188,0,0,0,0,0,0
-22.028,-32.9088,0,0,0,0,0,0
-22.018,-32.8988,0,0,0,0,0,0
-22.008,-32.8888,0,0,0,0,0,0
-21.998,-32.8788,0,0,0,0,0,0
-21.988,-32.8688,0,0,0,0,0,0
-21.978,-32.8588,0,0,0,0,0,0
-21.968,-32.8488,0,0,0,0,0,0
-21.958,-32.8388,0,0,0,0,0,0
-21.948,-32.8288,0,0,0,0,0,0
-21.938,-32.8188,0,0,0,0,0,0
-21.928,-32.8088,0,0,0,0,0,0
-21.918,-32.7988,0,0,0,0,0,0
-21.908,-32.7888,0,0,0,0,0,0
-21.898,-32.7788,0,0,0,0,0,0
-21.888,-32.7688,0,0,0,0,0,0
-21.878,-32.7588,0,0,0,0,0,0
-21.868,-32.7488,0,0,0,0,0,0
-21.858,-32.7388,0,0,0,0,0,0
-21.848,-32.7288,0,0,0,0,0,0
-21.838,-32.7188,0,0,0,0,0,0
-21.828,-32.7088,0,0,0,0,0,0
-21.818,-32.6988,0,0,0,0,0,0
-21.808,-32.6888,0,0,0,0,0,0
-21.798,-32.6788,0,0,0,0,0,0
-21.788,-32.6688,0,0,0,0,0,0
-21.778,-32.6588,0,0,0,0,0,0
-21.768,-32.6488,0,0,0,0,0,0
-21.758,-32.6388,0,0,0,0,0,0
-21.748,-32.6288,0,0,0,0,0,0
-21.738,-32.6188,0,0,0,0,0,0
-21.728,-32.6088,0,0,0,0,0,0
-21.718,-32.5988,0,0,0,0,0,0
-21.708,-32.5888,0,0,0,0,0,0
-21.698,-32.5788,0,0,0,0,0,0
-21.688,-32.5688,0,0,0,0,0,0
-21.678,-32.5588,0,0,0,0,0,0
-21.668,-32.5488,0,0,0,0,0,0
-21.658,-32.5388,0,0,0,0,0,0
-21.648,-32.5288,0,0,0,0,0,0
-21.638,-32.5188,0,0,0,0,0,0
-21.628,-32.5088,0,0,0,0,0,0
-21.618,-32.4988,0,0,0,0,0,0
-21.608,-32.4888,0,0,0,0,0,0
-21.598,-32.4788,0,0,0,0,0,0
-21.588,-32.4688,0,0,0,0,0,0
-21.578,-32.4588,0,0,0,0,0,0
-21.568,-32.4488,0,0,0,0,0,0
-21.558,-32.4388,0,0,0,0,0,0
-21.548,-32.4288,0,0,0,0,0,0
-21.538,-32.4188,0,0,0,0,0,0
-21.528,-32.4088,0,0,0,0,0,0
-21.518,-32.3988,0,0,0,0,0,0
-21.508,-32.3888,0,0,0,0,0,0
-21.498,-32.3788,0,0,0,0,0,0
-21.488,-32.3688,0,0,0,0,0,0
-21.478,-32.3588,0,0,0,0,0,0
-21.468,-32.3488,0,0,0,0,0,0
-21.458,-32.3388,0,0,0,0,0,0
-21.448,-32.3288,0,0,0,0,0,0
-21.438,-32.3188,0,0,0,0,0,0
