# nd2o3_mp-2763 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 16.159 eV. Gap is the fixed-occ nscf value (-6.460 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Nd_d,Nd_f,Nd_p,Nd_s,O_p,O_s
-24.721,-40.8803,0,0,0,0,0,0
-24.711,-40.8703,0,0,0,0,0,0
-24.701,-40.8603,0,0,0,0,0,0
-24.691,-40.8503,0,0,0,0,0,0
-24.681,-40.8403,0,0,0,0,0,0
-24.671,-40.8303,0,0,0,0,0,0
-24.661,-40.8203,0,0,0,0,0,0
-24.651,-40.8103,0,0,0,0,0,0
-24.641,-40.8003,0,0,0,0,0,0
-24.631,-40.7903,0,0,0,0,0,0
-24.621,-40.7803,0,0,0,0,0,0
-24.611,-40.7703,0,0,0,0,0,0
-24.601,-40.7603,0,0,0,0,0,0
-24.591,-40.7503,0,0,0,0,0,0
-24.581,-40.7403,0,0,0,0,0,0
-24.571,-40.7303,0,0,0,0,0,0
-24.561,-40.7203,0,0,0,0,0,0
-24.551,-40.7103,0,0,0,0,0,0
-24.541,-40.7003,0,0,0,0,0,0
-24.531,-40.6903,0,0,0,0,0,0
-24.521,-40.6803,0,0,0,0,0,0
-24.511,-40.6703,0,0,0,0,0,0
-24.501,-40.6603,0,0,0,0,0,0
-24.491,-40.6503,0,0,0,0,0,0
-24.481,-40.6403,0,0,0,0,0,0
-24.471,-40.6303,0,0,0,0,0,0
-24.461,-40.6203,0,0,0,0,0,0
-24.451,-40.6103,0,0,0,0,0,0
-24.441,-40.6003,0,0,0,0,0,0
-24.431,-40.5903,0,0,0,0,0,0
-24.421,-40.5803,0,0,0,0,0,0
-24.411,-40.5703,0,0,0,0,0,0
-24.401,-40.5603,0,0,0,0,0,0
-24.391,-40.5503,0,0,0,0,0,0
-24.381,-40.5403,0,0,0,0,0,0
-24.371,-40.5303,0,0,0,0,0,0
-24.361,-40.5203,0,0,0,0,0,0
-24.351,-40.5103,0,0,0,0,0,0
-24.341,-40.5003,0,0,0,0,0,0
-24.331,-40.4903,0,0,0,0,0,0
-24.321,-40.4803,0,0,0,0,0,0
-24.311,-40.4703,0,0,0,0,0,0
-24.301,-40.4603,0,0,0,0,0,0
-24.291,-40.4503,0,0,0,0,0,0
-24.281,-40.4403,0,0,0,0,0,0
-24.271,-40.4303,0,0,0,0,0,0
-24.261,-40.4203,0,0,0,0,0,0
-24.251,-40.4103,0,0,0,0,0,0
-24.241,-40.4003,0,0,0,0,0,0
-24.231,-40.3903,0,0,0,0,0,0
-24.221,-40.3803,0,0,0,0,0,0
-24.211,-40.3703,0,0,0,0,0,0
-24.201,-40.3603,0,0,0,0,0,0
-24.191,-40.3503,0,0,0,0,0,0
-24.181,-40.3403,0,0,0,0,0,0
-24.171,-40.3303,0,0,0,0,0,0
-24.161,-40.3203,0,0,0,0,0,0
-24.151,-40.3103,0,0,0,0,0,0
-24.141,-40.3003,0,0,0,0,0,0
-24.131,-40.2903,0,0,0,0,0,0
-24.121,-40.2803,0,0,0,0,0,0
-24.111,-40.2703,0,0,0,0,0,0
-24.101,-40.2603,0,0,0,0,0,0
-24.091,-40.2503,0,0,0,0,0,0
-24.081,-40.2403,0,0,0,0,0,0
-24.071,-40.2303,0,0,0,0,0,0
-24.061,-40.2203,0,0,0,0,0,0
-24.051,-40.2103,0,0,0,0,0,0
-24.041,-40.2003,0,0,0,0,0,0
-24.031,-40.1903,0,0,0,0,0,0
-24.021,-40.1803,0,0,0,0,0,0
-24.011,-40.1703,0,0,0,0,0,0
-24.001,-40.1603,0,0,0,0,0,0
-23.991,-40.1503,0,0,0,0,0,0
-23.981,-40.1403,0,0,0,0,0,0
-23.971,-40.1303,0,0,0,0,0,0
-23.961,-40.1203,0,0,0,0,0,0
-23.951,-40.1103,0,0,0,0,0,0
-23.941,-40.1003,0,0,0,0,0,0
-23.931,-40.0903,0,0,0,0,0,0
-23.921,-40.0803,0,0,0,0,0,0
-23.911,-40.0703,0,0,0,0,0,0
-23.901,-40.0603,0,0,0,0,0,0
-23.891,-40.0503,0,0,0,0,0,0
-23.881,-40.0403,0,0,0,0,0,0
-23.871,-40.0303,0,0,0,0,0,0
-23.861,-40.0203,0,0,0,0,0,0
-23.851,-40.0103,0,0,0,0,0,0
-23.841,-40.0003,0,0,0,0,0,0
-23.831,-39.9903,0,0,0,0,0,0
-23.821,-39.9803,0,0,0,0,0,0
-23.811,-39.9703,0,0,0,0,0,0
-23.801,-39.9603,0,0,0,0,0,0
-23.791,-39.9503,0,0,0,0,0,0
-23.781,-39.9403,0,0,0,0,0,0
-23.771,-39.9303,0,0,0,0,0,0
-23.761,-39.9203,0,0,0,0,0,0
-23.751,-39.9103,0,0,0,0,0,0
-23.741,-39.9003,0,0,0,0,0,0
-23.731,-39.8903,0,0,0,0,0,0
-23.721,-39.8803,0,0,0,0,0,0
-23.711,-39.8703,0,0,0,0,0,0
-23.701,-39.8603,0,0,0,0,0,0
-23.691,-39.8503,0,0,0,0,0,0
-23.681,-39.8403,0,0,0,0,0,0
-23.671,-39.8303,0,0,0,0,0,0
-23.661,-39.8203,0,0,0,0,0,0
-23.651,-39.8103,0,0,0,0,0,0
-23.641,-39.8003,0,0,0,0,0,0
-23.631,-39.7903,0,0,0,0,0,0
-23.621,-39.7803,0,0,0,0,0,0
-23.611,-39.7703,0,0,0,0,0,0
-23.601,-39.7603,0,0,0,0,0,0
-23.591,-39.7503,0,0,0,0,0,0
-23.581,-39.7403,0,0,0,0,0,0
-23.571,-39.7303,0,0,0,0,0,0
-23.561,-39.7203,0,0,0,0,0,0
-23.551,-39.7103,0,0,0,0,0,0
-23.541,-39.7003,0,0,0,0,0,0
-23.531,-39.6903,0,0,0,0,0,0
-23.521,-39.6803,0,0,0,0,0,0
-23.511,-39.6703,0,0,0,0,0,0
-23.501,-39.6603,0,0,0,0,0,0
-23.491,-39.6503,0,0,0,0,0,0
-23.481,-39.6403,0,0,0,0,0,0
-23.471,-39.6303,0,0,0,0,0,0
-23.461,-39.6203,0,0,0,0,0,0
-23.451,-39.6103,0,0,0,0,0,0
-23.441,-39.6003,0,0,0,0,0,0
-23.431,-39.5903,0,0,0,0,0,0
-23.421,-39.5803,0,0,0,0,0,0
-23.411,-39.5703,0,0,0,0,0,0
-23.401,-39.5603,0,0,0,0,0,0
-23.391,-39.5503,0,0,0,0,0,0
-23.381,-39.5403,0,0,0,0,0,0
-23.371,-39.5303,0,0,0,0,0,0
-23.361,-39.5203,0,0,0,0,0,0
-23.351,-39.5103,0,0,0,0,0,0
-23.341,-39.5003,0,0,0,0,0,0
-23.331,-39.4903,0,0,0,0,0,0
-23.321,-39.4803,0,0,0,0,0,0
-23.311,-39.4703,0,0,0,0,0,0
-23.301,-39.4603,0,0,0,0,0,0
-23.291,-39.4503,0,0,0,0,0,0
-23.281,-39.4403,0,0,0,0,0,0
-23.271,-39.4303,0,0,0,0,0,0
-23.261,-39.4203,0,0,0,0,0,0
-23.251,-39.4103,0,0,0,0,0,0
-23.241,-39.4003,0,0,0,0,0,0
-23.231,-39.3903,0,0,0,0,0,0
-23.221,-39.3803,0,0,0,0,0,0
-23.211,-39.3703,0,0,0,0,0,0
-23.201,-39.3603,0,0,0,0,0,0
-23.191,-39.3503,0,0,0,0,0,0
-23.181,-39.3403,0,0,0,0,0,0
-23.171,-39.3303,0,0,0,0,0,0
-23.161,-39.3203,0,0,0,0,0,0
-23.151,-39.3103,0,0,0,0,0,0
-23.141,-39.3003,0,0,0,0,0,0
-23.131,-39.2903,0,0,0,0,0,0
-23.121,-39.2803,0,0,0,0,0,0
-23.111,-39.2703,0,0,0,0,0,0
-23.101,-39.2603,0,0,0,0,0,0
-23.091,-39.2503,0,0,0,0,0,0
-23.081,-39.2403,0,0,0,0,0,0
-23.071,-39.2303,0,0,0,0,0,0
-23.061,-39.2203,0,0,0,0,0,0
-23.051,-39.2103,0,0,0,0,0,0
-23.041,-39.2003,0,0,0,0,0,0
-23.031,-39.1903,0,0,0,0,0,0
-23.021,-39.1803,0,0,0,0,0,0
-23.011,-39.1703,0,0,0,0,0,0
-23.001,-39.1603,0,0,0,0,0,0
-22.991,-39.1503,0,0,0,0,0,0
-22.981,-39.1403,0,0,0,0,0,0
-22.971,-39.1303,0,0,0,0,0,0
-22.961,-39.1203,0,0,0,0,0,0
-22.951,-39.1103,0,0,0,0,0,0
-22.941,-39.1003,0,0,0,0,0,0
-22.931,-39.0903,0,0,0,0,0,0
-22.921,-39.0803,0,0,0,0,0,0
-22.911,-39.0703,0,0,0,0,0,0
-22.901,-39.0603,0,0,0,0,0,0
-22.891,-39.0503,0,0,0,0,0,0
-22.881,-39.0403,0,0,0,0,0,0
-22.871,-39.0303,0,0,0,0,0,0
-22.861,-39.0203,0,0,0,0,0,0
-22.851,-39.0103,0,0,0,0,0,0
-22.841,-39.0003,0,0,0,0,0,0
-22.831,-38.9903,0,0,0,0,0,0
-22.821,-38.9803,0,0,0,0,0,0
-22.811,-38.9703,0,0,0,0,0,0
-22.801,-38.9603,0,0,0,0,0,0
-22.791,-38.9503,0,0,0,0,0,0
-22.781,-38.9403,0,0,0,0,0,0
-22.771,-38.9303,0,0,0,0,0,0
-22.761,-38.9203,0,0,0,0,0,0
-22.751,-38.9103,0,0,0,0,0,0
-22.741,-38.9003,0,0,0,0,0,0
-22.731,-38.8903,0,0,0,0,0,0
-22.721,-38.8803,0,0,0,0,0,0
-22.711,-38.8703,0,0,0,0,0,0
-22.701,-38.8603,0,0,0,0,0,0
-22.691,-38.8503,0,0,0,0,0,0
-22.681,-38.8403,0,0,0,0,0,0
-22.671,-38.8303,0,0,0,0,0,0
-22.661,-38.8203,0,0,0,0,0,0
-22.651,-38.8103,0,0,0,0,0,0
-22.641,-38.8003,0,0,0,0,0,0
-22.631,-38.7903,0,0,0,0,0,0
-22.621,-38.7803,0,0,0,0,0,0
-22.611,-38.7703,0,0,0,0,0,0
-22.601,-38.7603,0,0,0,0,0,0
-22.591,-38.7503,0,0,0,0,0,0
-22.581,-38.7403,0,0,0,0,0,0
-22.571,-38.7303,0,0,0,0,0,0
-22.561,-38.7203,0,0,0,0,0,0
-22.551,-38.7103,0,0,0,0,0,0
-22.541,-38.7003,0,0,0,0,0,0
-22.531,-38.6903,0,0,0,0,0,0
-22.521,-38.6803,0,0,0,0,0,0
-22.511,-38.6703,0,0,0,0,0,0
-22.501,-38.6603,0,0,0,0,0,0
-22.491,-38.6503,0,0,0,0,0,0
-22.481,-38.6403,0,0,0,0,0,0
-22.471,-38.6303,0,0,0,0,0,0
-22.461,-38.6203,0,0,0,0,0,0
-22.451,-38.6103,0,0,0,0,0,0
-22.441,-38.6003,0,0,0,0,0,0
-22.431,-38.5903,0,0,0,0,0,0
-22.421,-38.5803,0,0,0,0,0,0
-22.411,-38.5703,0,0,0,0,0,0
-22.401,-38.5603,0,0,0,0,0,0
-22.391,-38.5503,0,0,0,0,0,0
-22.381,-38.5403,0,0,0,0,0,0
-22.371,-38.5303,0,0,0,0,0,0
-22.361,-38.5203,0,0,0,0,0,0
-22.351,-38.5103,0,0,0,0,0,0
-22.341,-38.5003,0,0,0,0,0,0
-22.331,-38.4903,0,0,0,0,0,0
-22.321,-38.4803,0,0,0,0,0,0
-22.311,-38.4703,0,0,0,0,0,0
-22.301,-38.4603,0,0,0,0,0,0
-22.291,-38.4503,0,0,0,0,0,0
-22.281,-38.4403,0,0,0,0,0,0
-22.271,-38.4303,0,0,0,0,0,0
-22.261,-38.4203,0,0,0,0,0,0
-22.251,-38.4103,0,0,0,0,0,0
-22.241,-38.4003,0,0,0,0,0,0
-22.231,-38.3903,0,0,0,0,0,0
-22.221,-38.3803,0,0,0,0,0,0
-22.211,-38.3703,0,0,0,0,0,0
-22.201,-38.3603,0,0,0,0,0,0
-22.191,-38.3503,0,0,0,0,0,0
-22.181,-38.3403,0,0,0,0,0,0
-22.171,-38.3303,0,0,0,0,0,0
-22.161,-38.3203,0,0,0,0,0,0
-22.151,-38.3103,0,0,0,0,0,0
-22.141,-38.3003,0,0,0,0,0,0
-22.131,-38.2903,0,0,0,0,0,0
-22.121,-38.2803,0,0,0,0,0,0
-22.111,-38.2703,0,0,0,0,0,0
-22.101,-38.2603,0,0,0,0,0,0
-22.091,-38.2503,0,0,0,0,0,0
-22.081,-38.2403,0,0,0,0,0,0
-22.071,-38.2303,0,0,0,0,0,0
-22.061,-38.2203,0,0,0,0,0,0
-22.051,-38.2103,0,0,0,0,0,0
-22.041,-38.2003,0,0,0,0,0,0
-22.031,-38.1903,0,0,0,0,0,0
-22.021,-38.1803,0,0,0,0,0,0
-22.011,-38.1703,0,0,0,0,0,0
-22.001,-38.1603,0,0,0,0,0,0
-21.991,-38.1503,0,0,0,0,0,0
-21.981,-38.1403,0,0,0,0,0,0
-21.971,-38.1303,0,0,0,0,0,0
-21.961,-38.1203,0,0,0,0,0,0
-21.951,-38.1103,0,0,0,0,0,0
-21.941,-38.1003,0,0,0,0,0,0
-21.931,-38.0903,0,0,0,0,0,0
-21.921,-38.0803,0,0,0,0,0,0
-21.911,-38.0703,0,0,0,0,0,0
-21.901,-38.0603,0,0,0,0,0,0
-21.891,-38.0503,0,0,0,0,0,0
-21.881,-38.0403,0,0,0,0,0,0
-21.871,-38.0303,0,0,0,0,0,0
-21.861,-38.0203,0,0,0,0,0,0
-21.851,-38.0103,0,0,0,0,0,0
-21.841,-38.0003,0,0,0,0,0,0
-21.831,-37.9903,0,0,0,0,0,0
-21.821,-37.9803,0,0,0,0,0,0
-21.811,-37.9703,0,0,0,0,0,0
-21.801,-37.9603,0,0,0,0,0,0
-21.791,-37.9503,0,0,0,0,0,0
-21.781,-37.9403,0,0,0,0,0,0
-21.771,-37.9303,0,0,0,0,0,0
-21.761,-37.9203,0,0,0,0,0,0
-21.751,-37.9103,0,0,0,0,0,0
-21.741,-37.9003,0,0,0,0,0,0
-21.731,-37.8903,0,0,0,0,0,0
-21.721,-37.8803,0,0,0,0,0,0
-21.711,-37.8703,0,0,0,0,0,0
-21.701,-37.8603,0,0,0,0,0,0
-21.691,-37.8503,0,0,0,0,0,0
-21.681,-37.8403,0,0,0,0,0,0
-21.671,-37.8303,0,0,0,0,0,0
-21.661,-37.8203,0,0,0,0,0,0
-21.651,-37.8103,0,0,0,0,0,0
-21.641,-37.8003,0,0,0,0,0,0
-21.631,-37.7903,0,0,0,0,0,0
-21.621,-37.7803,0,0,0,0,0,0
-21.611,-37.7703,0,0,0,0,0,0
-21.601,-37.7603,0,0,0,0,0,0
-21.591,-37.7503,0,0,0,0,0,0
-21.581,-37.7403,0,0,0,0,0,0
-21.571,-37.7303,0,0,0,0,0,0
-21.561,-37.7203,0,0,0,0,0,0
-21.551,-37.7103,0,0,0,0,0,0
-21.541,-37.7003,0,0,0,0,0,0
-21.531,-37.6903,0,0,0,0,0,0
-21.521,-37.6803,0,0,0,0,0,0
-21.511,-37.6703,0,0,0,0,0,0
-21.501,-37.6603,0,0,0,0,0,0
-21.491,-37.6503,0,0,0,0,0,0
-21.481,-37.6403,0,0,0,0,0,0
-21.471,-37.6303,0,0,0,0,0,0
-21.461,-37.6203,0,0,0,0,0,0
-21.451,-37.6103,0,0,0,0,0,0
-21.441,-37.6003,0,0,0,0,0,0
-21.431,-37.5903,0,0,0,0,0,0
-21.421,-37.5803,0,0,0,0,0,0
-21.411,-37.5703,0,0,0,0,0,0
-21.401,-37.5603,0,0,0,0,0,0
-21.391,-37.5503,0,0,0,0,0,0
-21.381,-37.5403,0,0,0,0,0,0
-21.371,-37.5303,0,0,0,0,0,0
-21.361,-37.5203,0,0,0,0,0,0
-21.351,-37.5103,0,0,0,0,0,0
-21.341,-37.5003,0,0,0,0,0,0
-21.331,-37.4903,0,0,0,0,0,0
-21.321,-37.4803,0,0,0,0,0,0
-21.311,-37.4703,0,0,0,0,0,0
-21.301,-37.4603,0,0,0,0,0,0
-21.291,-37.4503,0,0,0,0,0,0
-21.281,-37.4403,0,0,0,0,0,0
-21.271,-37.4303,0,0,0,0,0,0
-21.261,-37.4203,0,0,0,0,0,0
-21.251,-37.4103,0,0,0,0,0,0
-21.241,-37.4003,0,0,0,0,0,0
-21.231,-37.3903,0,0,0,0,0,0
-21.221,-37.3803,0,0,0,0,0,0
-21.211,-37.3703,0,0,0,0,0,0
-21.201,-37.3603,0,0,0,0,0,0
-21.191,-37.3503,0,0,0,0,0,0
-21.181,-37.3403,0,0,0,0,0,0
-21.171,-37.3303,0,0,0,0,0,0
-21.161,-37.3203,0,0,0,0,0,0
-21.151,-37.3103,0,0,0,0,0,0
-21.141,-37.3003,0,0,0,0,0,0
-21.131,-37.2903,0,0,0,0,0,0
-21.121,-37.2803,0,0,0,0,0,0
-21.111,-37.2703,0,0,0,0,0,0
-21.101,-37.2603,0,0,0,0,0,0
-21.091,-37.2503,0,0,0,0,0,0
-21.081,-37.2403,0,0,0,0,0,0
-21.071,-37.2303,0,0,0,0,0,0
-21.061,-37.2203,0,0,0,0,0,0
-21.051,-37.2103,0,0,0,0,0,0
-21.041,-37.2003,0,0,0,0,0,0
-21.031,-37.1903,0,0,0,0,0,0
-21.021,-37.1803,0,0,0,0,0,0
-21.011,-37.1703,0,0,0,0,0,0
-21.001,-37.1603,0,0,0,0,0,0
-20.991,-37.1503,0,0,0,0,0,0
-20.981,-37.1403,0,0,0,0,0,0
-20.971,-37.1303,0,0,0,0,0,0
-20.961,-37.1203,0,0,0,0,0,0
-20.951,-37.1103,0,0,0,0,0,0
-20.941,-37.1003,0,0,0,0,0,0
-20.931,-37.0903,0,0,0,0,0,0
-20.921,-37.0803,0,0,0,0,0,0
-20.911,-37.0703,0,0,0,0,0,0
-20.901,-37.0603,0,0,0,0,0,0
-20.891,-37.0503,0,0,0,0,0,0
-20.881,-37.0403,0,0,0,0,0,0
-20.871,-37.0303,0,0,0,0,0,0
-20.861,-37.0203,0,0,0,0,0,0
-20.851,-37.0103,0,0,0,0,0,0
-20.841,-37.0003,0,0,0,0,0,0
-20.831,-36.9903,0,0,0,0,0,0
-20.821,-36.9803,0,0,0,0,0,0
-20.811,-36.9703,0,0,0,0,0,0
-20.801,-36.9603,0,0,0,0,0,0
-20.791,-36.9503,0,0,0,0,0,0
-20.781,-36.9403,0,0,0,0,0,0
-20.771,-36.9303,0,0,0,0,0,0
-20.761,-36.9203,0,0,0,0,0,0
-20.751,-36.9103,0,0,0,0,0,0
-20.741,-36.9003,0,0,0,0,0,0
-20.731,-36.8903,0,0,0,0,0,0
-20.721,-36.8803,0,0,0,0,0,0
-20.711,-36.8703,0,0,0,0,0,0
-20.701,-36.8603,0,0,0,0,0,0
-20.691,-36.8503,0,0,0,0,0,0
-20.681,-36.8403,0,0,0,0,0,0
