# li3p_mp-736 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 3.252 eV. Gap is the fixed-occ nscf value (0.709 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,P_p,P_s
-39.902,-43.1541,0,0,0,0
-39.892,-43.1441,0,0,0,0
-39.882,-43.1341,0,0,0,0
-39.872,-43.1241,0,0,0,0
-39.862,-43.1141,0,0,0,0
-39.852,-43.1041,0,0,0,0
-39.842,-43.0941,0,0,0,0
-39.832,-43.0841,0,0,0,0
-39.822,-43.0741,0,0,0,0
-39.812,-43.0641,0,0,0,0
-39.802,-43.0541,0,0,0,0
-39.792,-43.0441,0,0,0,0
-39.782,-43.0341,0,0,0,0
-39.772,-43.0241,0,0,0,0
-39.762,-43.0141,0,0,0,0
-39.752,-43.0041,0,0,0,0
-39.742,-42.9941,0,0,0,0
-39.732,-42.9841,0,0,0,0
-39.722,-42.9741,0,0,0,0
-39.712,-42.9641,0,0,0,0
-39.702,-42.9541,0,0,0,0
-39.692,-42.9441,0,0,0,0
-39.682,-42.9341,0,0,0,0
-39.672,-42.9241,0,0,0,0
-39.662,-42.9141,0,0,0,0
-39.652,-42.9041,0,0,0,0
-39.642,-42.8941,0,0,0,0
-39.632,-42.8841,0,0,0,0
-39.622,-42.8741,0,0,0,0
-39.612,-42.8641,0,0,0,0
-39.602,-42.8541,0,0,0,0
-39.592,-42.8441,0,0,0,0
-39.582,-42.8341,0,0,0,0
-39.572,-42.8241,0,0,0,0
-39.562,-42.8141,0,0,0,0
-39.552,-42.8041,0,0,0,0
-39.542,-42.7941,0,0,0,0
-39.532,-42.7841,0,0,0,0
-39.522,-42.7741,0,0,0,0
-39.512,-42.7641,0,0,0,0
-39.502,-42.7541,0,0,0,0
-39.492,-42.7441,0,0,0,0
-39.482,-42.7341,0,0,0,0
-39.472,-42.7241,0,0,0,0
-39.462,-42.7141,0,0,0,0
-39.452,-42.7041,0,0,0,0
-39.442,-42.6941,0,0,0,0
-39.432,-42.6841,0,0,0,0
-39.422,-42.6741,0,0,0,0
-39.412,-42.6641,0,0,0,0
-39.402,-42.6541,0,0,0,0
-39.392,-42.6441,0,0,0,0
-39.382,-42.6341,0,0,0,0
-39.372,-42.6241,0,0,0,0
-39.362,-42.6141,0,0,0,0
-39.352,-42.6041,0,0,0,0
-39.342,-42.5941,0,0,0,0
-39.332,-42.5841,0,0,0,0
-39.322,-42.5741,0,0,0,0
-39.312,-42.5641,0,0,0,0
-39.302,-42.5541,0,0,0,0
-39.292,-42.5441,0,0,0,0
-39.282,-42.5341,0,0,0,0
-39.272,-42.5241,0,0,0,0
-39.262,-42.5141,0,0,0,0
-39.252,-42.5041,0,0,0,0
-39.242,-42.4941,0,0,0,0
-39.232,-42.4841,0,0,0,0
-39.222,-42.4741,0,0,0,0
-39.212,-42.4641,0,0,0,0
-39.202,-42.4541,0,0,0,0
-39.192,-42.4441,0,0,0,0
-39.182,-42.4341,0,0,0,0
-39.172,-42.4241,0,0,0,0
-39.162,-42.4141,0,0,0,0
-39.152,-42.4041,0,0,0,0
-39.142,-42.3941,0,0,0,0
-39.132,-42.3841,0,0,0,0
-39.122,-42.3741,0,0,0,0
-39.112,-42.3641,0,0,0,0
-39.102,-42.3541,0,0,0,0
-39.092,-42.3441,0,0,0,0
-39.082,-42.3341,0,0,0,0
-39.072,-42.3241,0,0,0,0
-39.062,-42.3141,0,0,0,0
-39.052,-42.3041,0,0,0,0
-39.042,-42.2941,0,0,0,0
-39.032,-42.2841,0,0,0,0
-39.022,-42.2741,0,0,0,0
-39.012,-42.2641,0,0,0,0
-39.002,-42.2541,0,0,0,0
-38.992,-42.2441,0,0,0,0
-38.982,-42.2341,0,0,0,0
-38.972,-42.2241,0,0,0,0
-38.962,-42.2141,0,0,0,0
-38.952,-42.2041,0,0,0,0
-38.942,-42.1941,0,0,0,0
-38.932,-42.1841,0,0,0,0
-38.922,-42.1741,0,0,0,0
-38.912,-42.1641,0,0,0,0
-38.902,-42.1541,0,0,0,0
-38.892,-42.1441,0,0,0,0
-38.882,-42.1341,0,0,0,0
-38.872,-42.1241,0,0,0,0
-38.862,-42.1141,0,0,0,0
-38.852,-42.1041,0,0,0,0
-38.842,-42.0941,0,0,0,0
-38.832,-42.0841,0,0,0,0
-38.822,-42.0741,0,0,0,0
-38.812,-42.0641,0,0,0,0
-38.802,-42.0541,0,0,0,0
-38.792,-42.0441,0,0,0,0
-38.782,-42.0341,0,0,0,0
-38.772,-42.0241,0,0,0,0
-38.762,-42.0141,0,0,0,0
-38.752,-42.0041,0,0,0,0
-38.742,-41.9941,0,0,0,0
-38.732,-41.9841,0,0,0,0
-38.722,-41.9741,0,0,0,0
-38.712,-41.9641,0,0,0,0
-38.702,-41.9541,0,0,0,0
-38.692,-41.9441,0,0,0,0
-38.682,-41.9341,0,0,0,0
-38.672,-41.9241,0,0,0,0
-38.662,-41.9141,0,0,0,0
-38.652,-41.9041,0,0,0,0
-38.642,-41.8941,0,0,0,0
-38.632,-41.8841,0,0,0,0
-38.622,-41.8741,0,0,0,0
-38.612,-41.8641,0,0,0,0
-38.602,-41.8541,0,0,0,0
-38.592,-41.8441,0,0,0,0
-38.582,-41.8341,0,0,0,0
-38.572,-41.8241,0,0,0,0
-38.562,-41.8141,0,0,0,0
-38.552,-41.8041,0,0,0,0
-38.542,-41.7941,0,0,0,0
-38.532,-41.7841,0,0,0,0
-38.522,-41.7741,0,0,0,0
-38.512,-41.7641,0,0,0,0
-38.502,-41.7541,0,0,0,0
-38.492,-41.7441,0,0,0,0
-38.482,-41.7341,0,0,0,0
-38.472,-41.7241,0,0,0,0
-38.462,-41.7141,0,0,0,0
-38.452,-41.7041,0,0,0,0
-38.442,-41.6941,0,0,0,0
-38.432,-41.6841,0,0,0,0
-38.422,-41.6741,0,0,0,0
-38.412,-41.6641,0,0,0,0
-38.402,-41.6541,0,0,0,0
-38.392,-41.6441,0,0,0,0
-38.382,-41.6341,0,0,0,0
-38.372,-41.6241,0,0,0,0
-38.362,-41.6141,0,0,0,0
-38.352,-41.6041,0,0,0,0
-38.342,-41.5941,0,0,0,0
-38.332,-41.5841,0,0,0,0
-38.322,-41.5741,0,0,0,0
-38.312,-41.5641,0,0,0,0
-38.302,-41.5541,0,0,0,0
-38.292,-41.5441,0,0,0,0
-38.282,-41.5341,0,0,0,0
-38.272,-41.5241,0,0,0,0
-38.262,-41.5141,0,0,0,0
-38.252,-41.5041,0,0,0,0
-38.242,-41.4941,0,0,0,0
-38.232,-41.4841,0,0,0,0
-38.222,-41.4741,0,0,0,0
-38.212,-41.4641,0,0,0,0
-38.202,-41.4541,0,0,0,0
-38.192,-41.4441,0,0,0,0
-38.182,-41.4341,0,0,0,0
-38.172,-41.4241,0,0,0,0
-38.162,-41.4141,0,0,0,0
-38.152,-41.4041,0,0,0,0
-38.142,-41.3941,0,0,0,0
-38.132,-41.3841,0,0,0,0
-38.122,-41.3741,0,0,0,0
-38.112,-41.3641,0,0,0,0
-38.102,-41.3541,0,0,0,0
-38.092,-41.3441,0,0,0,0
-38.082,-41.3341,0,0,0,0
-38.072,-41.3241,0,0,0,0
-38.062,-41.3141,0,0,0,0
-38.052,-41.3041,0,0,0,0
-38.042,-41.2941,0,0,0,0
-38.032,-41.2841,0,0,0,0
-38.022,-41.2741,0,0,0,0
-38.012,-41.2641,0,0,0,0
-38.002,-41.2541,0,0,0,0
-37.992,-41.2441,0,0,0,0
-37.982,-41.2341,0,0,0,0
-37.972,-41.2241,0,0,0,0
-37.962,-41.2141,0,0,0,0
-37.952,-41.2041,0,0,0,0
-37.942,-41.1941,0,0,0,0
-37.932,-41.1841,0,0,0,0
-37.922,-41.1741,0,0,0,0
-37.912,-41.1641,0,0,0,0
-37.902,-41.1541,0,0,0,0
-37.892,-41.1441,0,0,0,0
-37.882,-41.1341,0,0,0,0
-37.872,-41.1241,0,0,0,0
-37.862,-41.1141,0,0,0,0
-37.852,-41.1041,0,0,0,0
-37.842,-41.0941,0,0,0,0
-37.832,-41.0841,0,0,0,0
-37.822,-41.0741,0,0,0,0
-37.812,-41.0641,0,0,0,0
-37.802,-41.0541,0,0,0,0
-37.792,-41.0441,0,0,0,0
-37.782,-41.0341,0,0,0,0
-37.772,-41.0241,0,0,0,0
-37.762,-41.0141,0,0,0,0
-37.752,-41.0041,0,0,0,0
-37.742,-40.9941,0,0,0,0
-37.732,-40.9841,0,0,0,0
-37.722,-40.9741,0,0,0,0
-37.712,-40.9641,0,0,0,0
-37.702,-40.9541,0,0,0,0
-37.692,-40.9441,0,0,0,0
-37.682,-40.9341,0,0,0,0
-37.672,-40.9241,0,0,0,0
-37.662,-40.9141,0,0,0,0
-37.652,-40.9041,0,0,0,0
-37.642,-40.8941,0,0,0,0
-37.632,-40.8841,0,0,0,0
-37.622,-40.8741,0,0,0,0
-37.612,-40.8641,0,0,0,0
-37.602,-40.8541,0,0,0,0
-37.592,-40.8441,0,0,0,0
-37.582,-40.8341,0,0,0,0
-37.572,-40.8241,0,0,0,0
-37.562,-40.8141,0,0,0,0
-37.552,-40.8041,0,0,0,0
-37.542,-40.7941,0,0,0,0
-37.532,-40.7841,0,0,0,0
-37.522,-40.7741,0,0,0,0
-37.512,-40.7641,0,0,0,0
-37.502,-40.7541,0,0,0,0
-37.492,-40.7441,0,0,0,0
-37.482,-40.7341,0,0,0,0
-37.472,-40.7241,0,0,0,0
-37.462,-40.7141,0,0,0,0
-37.452,-40.7041,0,0,0,0
-37.442,-40.6941,0,0,0,0
-37.432,-40.6841,0,0,0,0
-37.422,-40.6741,0,0,0,0
-37.412,-40.6641,0,0,0,0
-37.402,-40.6541,0,0,0,0
-37.392,-40.6441,0,0,0,0
-37.382,-40.6341,0,0,0,0
-37.372,-40.6241,0,0,0,0
-37.362,-40.6141,0,0,0,0
-37.352,-40.6041,0,0,0,0
-37.342,-40.5941,0,0,0,0
-37.332,-40.5841,0,0,0,0
-37.322,-40.5741,0,0,0,0
-37.312,-40.5641,0,0,0,0
-37.302,-40.5541,0,0,0,0
-37.292,-40.5441,0,0,0,0
-37.282,-40.5341,0,0,0,0
-37.272,-40.5241,0,0,0,0
-37.262,-40.5141,0,0,0,0
-37.252,-40.5041,0,0,0,0
-37.242,-40.4941,0,0,0,0
-37.232,-40.4841,0,0,0,0
-37.222,-40.4741,0,0,0,0
-37.212,-40.4641,0,0,0,0
-37.202,-40.4541,0,0,0,0
-37.192,-40.4441,0,0,0,0
-37.182,-40.4341,0,0,0,0
-37.172,-40.4241,0,0,0,0
-37.162,-40.4141,0,0,0,0
-37.152,-40.4041,0,0,0,0
-37.142,-40.3941,0,0,0,0
-37.132,-40.3841,0,0,0,0
-37.122,-40.3741,0,0,0,0
-37.112,-40.3641,0,0,0,0
-37.102,-40.3541,0,0,0,0
-37.092,-40.3441,0,0,0,0
-37.082,-40.3341,0,0,0,0
-37.072,-40.3241,0,0,0,0
-37.062,-40.3141,0,0,0,0
-37.052,-40.3041,0,0,0,0
-37.042,-40.2941,0,0,0,0
-37.032,-40.2841,0,0,0,0
-37.022,-40.2741,0,0,0,0
-37.012,-40.2641,0,0,0,0
-37.002,-40.2541,0,0,0,0
-36.992,-40.2441,0,0,0,0
-36.982,-40.2341,0,0,0,0
-36.972,-40.2241,0,0,0,0
-36.962,-40.2141,0,0,0,0
-36.952,-40.2041,0,0,0,0
-36.942,-40.1941,0,0,0,0
-36.932,-40.1841,0,0,0,0
-36.922,-40.1741,0,0,0,0
-36.912,-40.1641,0,0,0,0
-36.902,-40.1541,0,0,0,0
-36.892,-40.1441,0,0,0,0
-36.882,-40.1341,0,0,0,0
-36.872,-40.1241,0,0,0,0
-36.862,-40.1141,0,0,0,0
-36.852,-40.1041,0,0,0,0
-36.842,-40.0941,0,0,0,0
-36.832,-40.0841,0,0,0,0
-36.822,-40.0741,0,0,0,0
-36.812,-40.0641,0,0,0,0
-36.802,-40.0541,0,0,0,0
-36.792,-40.0441,0,0,0,0
-36.782,-40.0341,0,0,0,0
-36.772,-40.0241,0,0,0,0
-36.762,-40.0141,0,0,0,0
-36.752,-40.0041,0,0,0,0
-36.742,-39.9941,0,0,0,0
-36.732,-39.9841,0,0,0,0
-36.722,-39.9741,0,0,0,0
-36.712,-39.9641,0,0,0,0
-36.702,-39.9541,0,0,0,0
-36.692,-39.9441,0,0,0,0
-36.682,-39.9341,0,0,0,0
-36.672,-39.9241,0,0,0,0
-36.662,-39.9141,0,0,0,0
-36.652,-39.9041,0,0,0,0
-36.642,-39.8941,0,0,0,0
-36.632,-39.8841,0,0,0,0
-36.622,-39.8741,0,0,0,0
-36.612,-39.8641,0,0,0,0
-36.602,-39.8541,0,0,0,0
-36.592,-39.8441,0,0,0,0
-36.582,-39.8341,0,0,0,0
-36.572,-39.8241,0,0,0,0
-36.562,-39.8141,0,0,0,0
-36.552,-39.8041,0,0,0,0
-36.542,-39.7941,0,0,0,0
-36.532,-39.7841,0,0,0,0
-36.522,-39.7741,0,0,0,0
-36.512,-39.7641,0,0,0,0
-36.502,-39.7541,0,0,0,0
-36.492,-39.7441,0,0,0,0
-36.482,-39.7341,0,0,0,0
-36.472,-39.7241,0,0,0,0
-36.462,-39.7141,0,0,0,0
-36.452,-39.7041,0,0,0,0
-36.442,-39.6941,0,0,0,0
-36.432,-39.6841,0,0,0,0
-36.422,-39.6741,0,0,0,0
-36.412,-39.6641,0,0,0,0
-36.402,-39.6541,0,0,0,0
-36.392,-39.6441,0,0,0,0
-36.382,-39.6341,0,0,0,0
-36.372,-39.6241,0,0,0,0
-36.362,-39.6141,0,0,0,0
-36.352,-39.6041,0,0,0,0
-36.342,-39.5941,0,0,0,0
-36.332,-39.5841,0,0,0,0
-36.322,-39.5741,0,0,0,0
-36.312,-39.5641,0,0,0,0
