# li3p_mp-736 total DOS (QE dos.x, degauss 0.007 Ry). VBM 3.252 / CBM 3.961 / gap 0.709 eV from fixed-occ nscf eigenvalues. DO NOT read the gap off this curve (smearing underestimates ~0.3 eV).
E_eV,E_minus_VBM_eV,DOS_states_per_eV,integrated_DOS_states
-40.312,-43.5641,4.263e-85,12
-40.302,-43.5541,4.263e-85,12
-40.292,-43.5441,4.263e-85,12
-40.282,-43.5341,4.263e-85,12
-40.272,-43.5241,4.263e-85,12
-40.262,-43.5141,4.263e-85,12
-40.252,-43.5041,4.263e-85,12
-40.242,-43.4941,4.263e-85,12
-40.232,-43.4841,4.263e-85,12
-40.222,-43.4741,4.263e-85,12
-40.212,-43.4641,4.263e-85,12
-40.202,-43.4541,4.263e-85,12
-40.192,-43.4441,4.263e-85,12
-40.182,-43.4341,4.263e-85,12
-40.172,-43.4241,4.263e-85,12
-40.162,-43.4141,4.263e-85,12
-40.152,-43.4041,4.263e-85,12
-40.142,-43.3941,4.263e-85,12
-40.132,-43.3841,4.263e-85,12
-40.122,-43.3741,4.263e-85,12
-40.112,-43.3641,4.263e-85,12
-40.102,-43.3541,4.263e-85,12
-40.092,-43.3441,4.263e-85,12
-40.082,-43.3341,4.263e-85,12
-40.072,-43.3241,4.263e-85,12
-40.062,-43.3141,4.263e-85,12
-40.052,-43.3041,4.263e-85,12
-40.042,-43.2941,4.263e-85,12
-40.032,-43.2841,4.263e-85,12
-40.022,-43.2741,4.263e-85,12
-40.012,-43.2641,4.263e-85,12
-40.002,-43.2541,4.263e-85,12
-39.992,-43.2441,4.263e-85,12
-39.982,-43.2341,4.263e-85,12
-39.972,-43.2241,4.263e-85,12
-39.962,-43.2141,4.263e-85,12
-39.952,-43.2041,4.263e-85,12
-39.942,-43.1941,4.263e-85,12
-39.932,-43.1841,4.263e-85,12
-39.922,-43.1741,4.263e-85,12
-39.912,-43.1641,4.263e-85,12
-39.902,-43.1541,4.263e-85,12
-39.892,-43.1441,4.263e-85,12
-39.882,-43.1341,4.263e-85,12
-39.872,-43.1241,4.263e-85,12
-39.862,-43.1141,4.263e-85,12
-39.852,-43.1041,4.263e-85,12
-39.842,-43.0941,4.263e-85,12
-39.832,-43.0841,4.263e-85,12
-39.822,-43.0741,4.263e-85,12
-39.812,-43.0641,4.263e-85,12
-39.802,-43.0541,4.263e-85,12
-39.792,-43.0441,4.263e-85,12
-39.782,-43.0341,4.263e-85,12
-39.772,-43.0241,4.263e-85,12
-39.762,-43.0141,4.263e-85,12
-39.752,-43.0041,4.263e-85,12
-39.742,-42.9941,4.263e-85,12
-39.732,-42.9841,4.263e-85,12
-39.722,-42.9741,4.263e-85,12
-39.712,-42.9641,4.263e-85,12
-39.702,-42.9541,4.263e-85,12
-39.692,-42.9441,4.263e-85,12
-39.682,-42.9341,4.263e-85,12
-39.672,-42.9241,4.263e-85,12
-39.662,-42.9141,4.263e-85,12
-39.652,-42.9041,4.263e-85,12
-39.642,-42.8941,4.263e-85,12
-39.632,-42.8841,4.263e-85,12
-39.622,-42.8741,4.263e-85,12
-39.612,-42.8641,4.263e-85,12
-39.602,-42.8541,4.263e-85,12
-39.592,-42.8441,4.263e-85,12
-39.582,-42.8341,4.263e-85,12
-39.572,-42.8241,4.263e-85,12
-39.562,-42.8141,4.263e-85,12
-39.552,-42.8041,4.263e-85,12
-39.542,-42.7941,4.263e-85,12
-39.532,-42.7841,4.263e-85,12
-39.522,-42.7741,4.263e-85,12
-39.512,-42.7641,4.263e-85,12
-39.502,-42.7541,4.263e-85,12
-39.492,-42.7441,4.263e-85,12
-39.482,-42.7341,4.263e-85,12
-39.472,-42.7241,4.263e-85,12
-39.462,-42.7141,4.263e-85,12
-39.452,-42.7041,4.263e-85,12
-39.442,-42.6941,4.263e-85,12
-39.432,-42.6841,4.263e-85,12
-39.422,-42.6741,4.263e-85,12
-39.412,-42.6641,4.263e-85,12
-39.402,-42.6541,4.263e-85,12
-39.392,-42.6441,4.263e-85,12
-39.382,-42.6341,4.263e-85,12
-39.372,-42.6241,4.263e-85,12
-39.362,-42.6141,4.263e-85,12
-39.352,-42.6041,4.263e-85,12
-39.342,-42.5941,4.263e-85,12
-39.332,-42.5841,4.263e-85,12
-39.322,-42.5741,4.263e-85,12
-39.312,-42.5641,4.263e-85,12
-39.302,-42.5541,4.263e-85,12
-39.292,-42.5441,4.263e-85,12
-39.282,-42.5341,4.263e-85,12
-39.272,-42.5241,4.263e-85,12
-39.262,-42.5141,4.263e-85,12
-39.252,-42.5041,4.263e-85,12
-39.242,-42.4941,4.263e-85,12
-39.232,-42.4841,4.263e-85,12
-39.222,-42.4741,4.263e-85,12
-39.212,-42.4641,4.263e-85,12
-39.202,-42.4541,4.263e-85,12
-39.192,-42.4441,4.263e-85,12
-39.182,-42.4341,4.263e-85,12
-39.172,-42.4241,4.263e-85,12
-39.162,-42.4141,4.263e-85,12
-39.152,-42.4041,4.263e-85,12
-39.142,-42.3941,4.263e-85,12
-39.132,-42.3841,4.263e-85,12
-39.122,-42.3741,4.263e-85,12
-39.112,-42.3641,4.263e-85,12
-39.102,-42.3541,4.263e-85,12
-39.092,-42.3441,4.263e-85,12
-39.082,-42.3341,4.263e-85,12
-39.072,-42.3241,4.263e-85,12
-39.062,-42.3141,4.263e-85,12
-39.052,-42.3041,4.263e-85,12
-39.042,-42.2941,4.263e-85,12
-39.032,-42.2841,4.263e-85,12
-39.022,-42.2741,4.263e-85,12
-39.012,-42.2641,4.263e-85,12
-39.002,-42.2541,4.263e-85,12
-38.992,-42.2441,4.263e-85,12
-38.982,-42.2341,4.263e-85,12
-38.972,-42.2241,4.263e-85,12
-38.962,-42.2141,4.263e-85,12
-38.952,-42.2041,4.263e-85,12
-38.942,-42.1941,4.263e-85,12
-38.932,-42.1841,4.263e-85,12
-38.922,-42.1741,4.263e-85,12
-38.912,-42.1641,4.263e-85,12
-38.902,-42.1541,4.263e-85,12
-38.892,-42.1441,4.263e-85,12
-38.882,-42.1341,4.263e-85,12
-38.872,-42.1241,4.263e-85,12
-38.862,-42.1141,4.263e-85,12
-38.852,-42.1041,4.263e-85,12
-38.842,-42.0941,4.263e-85,12
-38.832,-42.0841,4.263e-85,12
-38.822,-42.0741,4.263e-85,12
-38.812,-42.0641,4.263e-85,12
-38.802,-42.0541,4.263e-85,12
-38.792,-42.0441,4.263e-85,12
-38.782,-42.0341,4.263e-85,12
-38.772,-42.0241,4.263e-85,12
-38.762,-42.0141,4.263e-85,12
-38.752,-42.0041,4.263e-85,12
-38.742,-41.9941,4.263e-85,12
-38.732,-41.9841,4.263e-85,12
-38.722,-41.9741,4.263e-85,12
-38.712,-41.9641,4.263e-85,12
-38.702,-41.9541,4.263e-85,12
-38.692,-41.9441,4.263e-85,12
-38.682,-41.9341,4.263e-85,12
-38.672,-41.9241,4.263e-85,12
-38.662,-41.9141,4.263e-85,12
-38.652,-41.9041,4.263e-85,12
-38.642,-41.8941,4.263e-85,12
-38.632,-41.8841,4.263e-85,12
-38.622,-41.8741,4.263e-85,12
-38.612,-41.8641,4.263e-85,12
-38.602,-41.8541,4.263e-85,12
-38.592,-41.8441,4.263e-85,12
-38.582,-41.8341,4.263e-85,12
-38.572,-41.8241,4.263e-85,12
-38.562,-41.8141,4.263e-85,12
-38.552,-41.8041,4.263e-85,12
-38.542,-41.7941,4.263e-85,12
-38.532,-41.7841,4.263e-85,12
-38.522,-41.7741,4.263e-85,12
-38.512,-41.7641,4.263e-85,12
-38.502,-41.7541,4.263e-85,12
-38.492,-41.7441,4.263e-85,12
-38.482,-41.7341,4.263e-85,12
-38.472,-41.7241,4.263e-85,12
-38.462,-41.7141,4.263e-85,12
-38.452,-41.7041,4.263e-85,12
-38.442,-41.6941,4.263e-85,12
-38.432,-41.6841,4.263e-85,12
-38.422,-41.6741,4.263e-85,12
-38.412,-41.6641,4.263e-85,12
-38.402,-41.6541,4.263e-85,12
-38.392,-41.6441,4.263e-85,12
-38.382,-41.6341,4.263e-85,12
-38.372,-41.6241,4.263e-85,12
-38.362,-41.6141,4.263e-85,12
-38.352,-41.6041,4.263e-85,12
-38.342,-41.5941,4.263e-85,12
-38.332,-41.5841,4.263e-85,12
-38.322,-41.5741,4.263e-85,12
-38.312,-41.5641,4.263e-85,12
-38.302,-41.5541,4.263e-85,12
-38.292,-41.5441,4.263e-85,12
-38.282,-41.5341,4.263e-85,12
-38.272,-41.5241,4.263e-85,12
-38.262,-41.5141,4.263e-85,12
-38.252,-41.5041,4.263e-85,12
-38.242,-41.4941,4.263e-85,12
-38.232,-41.4841,4.263e-85,12
-38.222,-41.4741,4.263e-85,12
-38.212,-41.4641,4.263e-85,12
-38.202,-41.4541,4.263e-85,12
-38.192,-41.4441,4.263e-85,12
-38.182,-41.4341,4.263e-85,12
-38.172,-41.4241,4.263e-85,12
-38.162,-41.4141,4.263e-85,12
-38.152,-41.4041,4.263e-85,12
-38.142,-41.3941,4.263e-85,12
-38.132,-41.3841,4.263e-85,12
-38.122,-41.3741,4.263e-85,12
-38.112,-41.3641,4.263e-85,12
-38.102,-41.3541,4.263e-85,12
-38.092,-41.3441,4.263e-85,12
-38.082,-41.3341,4.263e-85,12
-38.072,-41.3241,4.263e-85,12
-38.062,-41.3141,4.263e-85,12
-38.052,-41.3041,4.263e-85,12
-38.042,-41.2941,4.263e-85,12
-38.032,-41.2841,4.263e-85,12
-38.022,-41.2741,4.263e-85,12
-38.012,-41.2641,4.263e-85,12
-38.002,-41.2541,4.263e-85,12
-37.992,-41.2441,4.263e-85,12
-37.982,-41.2341,4.263e-85,12
-37.972,-41.2241,4.263e-85,12
-37.962,-41.2141,4.263e-85,12
-37.952,-41.2041,4.263e-85,12
-37.942,-41.1941,4.263e-85,12
-37.932,-41.1841,4.263e-85,12
-37.922,-41.1741,4.263e-85,12
-37.912,-41.1641,4.263e-85,12
-37.902,-41.1541,4.263e-85,12
-37.892,-41.1441,4.263e-85,12
-37.882,-41.1341,4.263e-85,12
-37.872,-41.1241,4.263e-85,12
-37.862,-41.1141,4.263e-85,12
-37.852,-41.1041,4.263e-85,12
-37.842,-41.0941,4.263e-85,12
-37.832,-41.0841,4.263e-85,12
-37.822,-41.0741,4.263e-85,12
-37.812,-41.0641,4.263e-85,12
-37.802,-41.0541,4.263e-85,12
-37.792,-41.0441,4.263e-85,12
-37.782,-41.0341,4.263e-85,12
-37.772,-41.0241,4.263e-85,12
-37.762,-41.0141,4.263e-85,12
-37.752,-41.0041,4.263e-85,12
-37.742,-40.9941,4.263e-85,12
-37.732,-40.9841,4.263e-85,12
-37.722,-40.9741,4.263e-85,12
