# li2s_mp-1153 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.243 eV. Gap is the fixed-occ nscf value (3.438 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,S_p,S_s
-38.1,-40.3434,0,0,0,0
-38.09,-40.3334,0,0,0,0
-38.08,-40.3234,0,0,0,0
-38.07,-40.3134,0,0,0,0
-38.06,-40.3034,0,0,0,0
-38.05,-40.2934,0,0,0,0
-38.04,-40.2834,0,0,0,0
-38.03,-40.2734,0,0,0,0
-38.02,-40.2634,0,0,0,0
-38.01,-40.2534,0,0,0,0
-38,-40.2434,0,0,0,0
-37.99,-40.2334,0,0,0,0
-37.98,-40.2234,0,0,0,0
-37.97,-40.2134,0,0,0,0
-37.96,-40.2034,0,0,0,0
-37.95,-40.1934,0,0,0,0
-37.94,-40.1834,0,0,0,0
-37.93,-40.1734,0,0,0,0
-37.92,-40.1634,0,0,0,0
-37.91,-40.1534,0,0,0,0
-37.9,-40.1434,0,0,0,0
-37.89,-40.1334,0,0,0,0
-37.88,-40.1234,0,0,0,0
-37.87,-40.1134,0,0,0,0
-37.86,-40.1034,0,0,0,0
-37.85,-40.0934,0,0,0,0
-37.84,-40.0834,0,0,0,0
-37.83,-40.0734,0,0,0,0
-37.82,-40.0634,0,0,0,0
-37.81,-40.0534,0,0,0,0
-37.8,-40.0434,0,0,0,0
-37.79,-40.0334,0,0,0,0
-37.78,-40.0234,0,0,0,0
-37.77,-40.0134,0,0,0,0
-37.76,-40.0034,0,0,0,0
-37.75,-39.9934,0,0,0,0
-37.74,-39.9834,0,0,0,0
-37.73,-39.9734,0,0,0,0
-37.72,-39.9634,0,0,0,0
-37.71,-39.9534,0,0,0,0
-37.7,-39.9434,0,0,0,0
-37.69,-39.9334,0,0,0,0
-37.68,-39.9234,0,0,0,0
-37.67,-39.9134,0,0,0,0
-37.66,-39.9034,0,0,0,0
-37.65,-39.8934,0,0,0,0
-37.64,-39.8834,0,0,0,0
-37.63,-39.8734,0,0,0,0
-37.62,-39.8634,0,0,0,0
-37.61,-39.8534,0,0,0,0
-37.6,-39.8434,0,0,0,0
-37.59,-39.8334,0,0,0,0
-37.58,-39.8234,0,0,0,0
-37.57,-39.8134,0,0,0,0
-37.56,-39.8034,0,0,0,0
-37.55,-39.7934,0,0,0,0
-37.54,-39.7834,0,0,0,0
-37.53,-39.7734,0,0,0,0
-37.52,-39.7634,0,0,0,0
-37.51,-39.7534,0,0,0,0
-37.5,-39.7434,0,0,0,0
-37.49,-39.7334,0,0,0,0
-37.48,-39.7234,0,0,0,0
-37.47,-39.7134,0,0,0,0
-37.46,-39.7034,0,0,0,0
-37.45,-39.6934,0,0,0,0
-37.44,-39.6834,0,0,0,0
-37.43,-39.6734,0,0,0,0
-37.42,-39.6634,0,0,0,0
-37.41,-39.6534,0,0,0,0
-37.4,-39.6434,0,0,0,0
-37.39,-39.6334,0,0,0,0
-37.38,-39.6234,0,0,0,0
-37.37,-39.6134,0,0,0,0
-37.36,-39.6034,0,0,0,0
-37.35,-39.5934,0,0,0,0
-37.34,-39.5834,0,0,0,0
-37.33,-39.5734,0,0,0,0
-37.32,-39.5634,0,0,0,0
-37.31,-39.5534,0,0,0,0
-37.3,-39.5434,0,0,0,0
-37.29,-39.5334,0,0,0,0
-37.28,-39.5234,0,0,0,0
-37.27,-39.5134,0,0,0,0
-37.26,-39.5034,0,0,0,0
-37.25,-39.4934,0,0,0,0
-37.24,-39.4834,0,0,0,0
-37.23,-39.4734,0,0,0,0
-37.22,-39.4634,0,0,0,0
-37.21,-39.4534,0,0,0,0
-37.2,-39.4434,0,0,0,0
-37.19,-39.4334,0,0,0,0
-37.18,-39.4234,0,0,0,0
-37.17,-39.4134,0,0,0,0
-37.16,-39.4034,0,0,0,0
-37.15,-39.3934,0,0,0,0
-37.14,-39.3834,0,0,0,0
-37.13,-39.3734,0,0,0,0
-37.12,-39.3634,0,0,0,0
-37.11,-39.3534,0,0,0,0
-37.1,-39.3434,0,0,0,0
-37.09,-39.3334,0,0,0,0
-37.08,-39.3234,0,0,0,0
-37.07,-39.3134,0,0,0,0
-37.06,-39.3034,0,0,0,0
-37.05,-39.2934,0,0,0,0
-37.04,-39.2834,0,0,0,0
-37.03,-39.2734,0,0,0,0
-37.02,-39.2634,0,0,0,0
-37.01,-39.2534,0,0,0,0
-37,-39.2434,0,0,0,0
-36.99,-39.2334,0,0,0,0
-36.98,-39.2234,0,0,0,0
-36.97,-39.2134,0,0,0,0
-36.96,-39.2034,0,0,0,0
-36.95,-39.1934,0,0,0,0
-36.94,-39.1834,0,0,0,0
-36.93,-39.1734,0,0,0,0
-36.92,-39.1634,0,0,0,0
-36.91,-39.1534,0,0,0,0
-36.9,-39.1434,0,0,0,0
-36.89,-39.1334,0,0,0,0
-36.88,-39.1234,0,0,0,0
-36.87,-39.1134,0,0,0,0
-36.86,-39.1034,0,0,0,0
-36.85,-39.0934,0,0,0,0
-36.84,-39.0834,0,0,0,0
-36.83,-39.0734,0,0,0,0
-36.82,-39.0634,0,0,0,0
-36.81,-39.0534,0,0,0,0
-36.8,-39.0434,0,0,0,0
-36.79,-39.0334,0,0,0,0
-36.78,-39.0234,0,0,0,0
-36.77,-39.0134,0,0,0,0
-36.76,-39.0034,0,0,0,0
-36.75,-38.9934,0,0,0,0
-36.74,-38.9834,0,0,0,0
-36.73,-38.9734,0,0,0,0
-36.72,-38.9634,0,0,0,0
-36.71,-38.9534,0,0,0,0
-36.7,-38.9434,0,0,0,0
-36.69,-38.9334,0,0,0,0
-36.68,-38.9234,0,0,0,0
-36.67,-38.9134,0,0,0,0
-36.66,-38.9034,0,0,0,0
-36.65,-38.8934,0,0,0,0
-36.64,-38.8834,0,0,0,0
-36.63,-38.8734,0,0,0,0
-36.62,-38.8634,0,0,0,0
-36.61,-38.8534,0,0,0,0
-36.6,-38.8434,0,0,0,0
-36.59,-38.8334,0,0,0,0
-36.58,-38.8234,0,0,0,0
-36.57,-38.8134,0,0,0,0
-36.56,-38.8034,0,0,0,0
-36.55,-38.7934,0,0,0,0
-36.54,-38.7834,0,0,0,0
-36.53,-38.7734,0,0,0,0
-36.52,-38.7634,0,0,0,0
-36.51,-38.7534,0,0,0,0
-36.5,-38.7434,0,0,0,0
-36.49,-38.7334,0,0,0,0
-36.48,-38.7234,0,0,0,0
-36.47,-38.7134,0,0,0,0
-36.46,-38.7034,0,0,0,0
