# li2o_mp-1960 PDOS summed by element+orbital (QE projwfc.x). Columns are states/eV. VBM 2.795 eV. Gap is the fixed-occ nscf value (4.986 eV), not a DOS threshold.
E_eV,E_minus_VBM_eV,Li_p,Li_s,O_p,O_s
-40.153,-42.9475,0.308,3.0122,0.0102,0.000231
-40.143,-42.9375,0.36,3.5964,0.0128,0.000269
-40.133,-42.9275,0.414,4.2412,0.0159,0.000309
-40.123,-42.9175,0.47,4.9668,0.0194,0.000348
-40.113,-42.9075,0.524,5.7536,0.0234,0.000385
-40.103,-42.8975,0.58,6.6018,0.0277,0.000419
-40.093,-42.8875,0.63,7.492,0.0323,0.000448
-40.083,-42.8775,0.678,8.424,0.0372,0.00047
-40.073,-42.8675,0.718,9.3786,0.0421,0.000485
-40.063,-42.8575,0.752,10.3356,0.047,0.000493
-40.053,-42.8475,0.778,11.2954,0.0516,0.000492
-40.043,-42.8375,0.794,12.1978,0.0558,0.000482
-40.033,-42.8275,0.802,13.0624,0.0595,0.000465
-40.023,-42.8175,0.798,13.83,0.0624,0.000442
-40.013,-42.8075,0.786,14.518,0.0644,0.000413
-40.003,-42.7975,0.764,15.066,0.0655,0.000379
-39.993,-42.7875,0.736,15.474,0.0656,0.000344
-39.983,-42.7775,0.698,15.742,0.0647,0.000307
-39.973,-42.7675,0.656,15.848,0.0628,0.00027
-39.963,-42.7575,0.61,15.79,0.0601,0.000235
-39.953,-42.7475,0.56,15.548,0.0566,0.000202
-39.943,-42.7375,0.508,15.142,0.0526,0.000171
-39.933,-42.7275,0.456,14.592,0.048,0.000144
-39.923,-42.7175,0.406,13.894,0.0433,0.00012
-39.913,-42.7075,0.356,13.092,0.0384,9.9e-05
-39.903,-42.6975,0.31,12.184,0.0336,8.13e-05
-39.893,-42.6875,0.268,11.21,0.0289,6.63e-05
-39.883,-42.6775,0.228,10.17,0.0245,5.38e-05
-39.873,-42.6675,0.193,9.128,0.0205,4.33e-05
-39.863,-42.6575,0.1614,8.08,0.0169,3.47e-05
-39.853,-42.6475,0.1338,7.072,0.0137,2.76e-05
-39.843,-42.6375,0.1096,6.102,0.0109,2.18e-05
-39.833,-42.6275,0.089,5.192,0.00859,1.71e-05
-39.823,-42.6175,0.0716,4.362,0.00666,1.32e-05
-39.813,-42.6075,0.0568,3.6124,0.00508,1.01e-05
-39.803,-42.5975,0.0446,2.9452,0.00382,7.66e-06
-39.793,-42.5875,0.0348,2.3804,0.00282,5.72e-06
-39.783,-42.5775,0.0266,1.8842,0.00205,4.21e-06
-39.773,-42.5675,0.0202,1.4728,0.00147,3.05e-06
-39.763,-42.5575,0.0151,1.1322,0.00104,2.17e-06
-39.753,-42.5475,0.01114,0.8562,0.000721,1.52e-06
-39.743,-42.5375,0.0081,0.6366,0.000492,1.05e-06
-39.733,-42.5275,0.0058,0.4674,0.000331,7.09e-07
-39.723,-42.5175,0.0041,0.3362,0.000219,4.7e-07
-39.713,-42.5075,0.00284,0.23854,0.000142,3.07e-07
-39.703,-42.4975,0.001942,0.1657,9.09e-05,1.96e-07
-39.693,-42.4875,0.001304,0.11336,5.71e-05,1.23e-07
-39.683,-42.4775,0.00086,0.07608,3.53e-05,7.56e-08
-39.673,-42.4675,0.000558,0.05026,2.14e-05,4.56e-08
-39.663,-42.4575,0.000356,0.03254,1.28e-05,2.7e-08
-39.653,-42.4475,0.000222,0.02066,7.51e-06,1.57e-08
-39.643,-42.4375,0.0001368,0.01289,4.33e-06,8.9e-09
-39.633,-42.4275,8.24e-05,0.007878,2.45e-06,4.96e-09
-39.623,-42.4175,4.88e-05,0.004726,1.36e-06,2.71e-09
-39.613,-42.4075,2.82e-05,0.0027944,7.45e-07,1.45e-09
-39.603,-42.3975,1.61e-05,0.0016092,4e-07,7.63e-10
-39.593,-42.3875,8.98e-06,0.0009106,2.11e-07,3.92e-10
-39.583,-42.3775,4.92e-06,0.0005062,1.09e-07,1.98e-10
-39.573,-42.3675,2.64e-06,0.00027584,5.52e-08,9.79e-11
-39.563,-42.3575,1.386e-06,0.00014646,2.75e-08,4.74e-11
-39.553,-42.3475,7.14e-07,7.66e-05,1.35e-08,2.25e-11
-39.543,-42.3375,3.6e-07,3.928e-05,6.45e-09,1.05e-11
-39.533,-42.3275,1.784e-07,1.9658e-05,3.04e-09,4.78e-12
-39.523,-42.3175,8.64e-08,9.66e-06,1.4e-09,2.14e-12
-39.513,-42.3075,4.1e-08,4.648e-06,6.35e-10,9.37e-13
-39.503,-42.2975,1.912e-08,2.1852e-06,2.82e-10,4.03e-13
-39.493,-42.2875,8.7e-09,1.0128e-06,1.23e-10,1.7e-13
-39.483,-42.2775,3.88e-09,4.588e-07,5.24e-11,7e-14
-39.473,-42.2675,1.7e-09,2.0292e-07,2.19e-11,2.83e-14
-39.463,-42.2575,7.28e-10,8.796e-08,8.99e-12,1.12e-14
-39.453,-42.2475,3.06e-10,3.748e-08,3.6e-12,4.34e-15
-39.443,-42.2375,1.252e-10,1.5564e-08,1.42e-12,1.64e-15
-39.433,-42.2275,5.04e-11,6.332e-09,5.42e-13,5.81e-16
-39.423,-42.2175,1.976e-11,2.5168e-09,1.98e-13,2e-16
-39.413,-42.2075,7.6e-12,9.83e-10,7.27e-14,6.72e-17
-39.403,-42.1975,2.82e-12,3.714e-10,2.43e-14,1.37e-17
-39.393,-42.1875,9.9e-13,1.356e-10,6.36e-15,2.56e-18
-39.383,-42.1775,3.6e-13,4.978e-11,2.28e-15,9.3e-19
-39.373,-42.1675,1.194e-13,1.723e-11,6.47e-16,2.54e-19
-39.363,-42.1575,2.32e-14,4.456e-12,3.65e-17,6.93e-20
-39.353,-42.1475,4.64e-15,1.0806e-12,1.27e-17,2.41e-20
-39.343,-42.1375,0,0,0,0
-39.333,-42.1275,0,0,0,0
-39.323,-42.1175,0,0,0,0
-39.313,-42.1075,0,0,0,0
-39.303,-42.0975,0,0,0,0
-39.293,-42.0875,0,0,0,0
-39.283,-42.0775,0,0,0,0
-39.273,-42.0675,0,0,0,0
-39.263,-42.0575,0,0,0,0
-39.253,-42.0475,0,0,0,0
-39.243,-42.0375,0,0,0,0
-39.233,-42.0275,0,0,0,0
-39.223,-42.0175,0,0,0,0
-39.213,-42.0075,0,0,0,0
-39.203,-41.9975,0,0,0,0
-39.193,-41.9875,0,0,0,0
-39.183,-41.9775,0,0,0,0
-39.173,-41.9675,0,0,0,0
-39.163,-41.9575,0,0,0,0
-39.153,-41.9475,0,0,0,0
-39.143,-41.9375,0,0,0,0
-39.133,-41.9275,0,0,0,0
-39.123,-41.9175,0,0,0,0
-39.113,-41.9075,0,0,0,0
-39.103,-41.8975,0,0,0,0
-39.093,-41.8875,0,0,0,0
-39.083,-41.8775,0,0,0,0
-39.073,-41.8675,0,0,0,0
-39.063,-41.8575,0,0,0,0
-39.053,-41.8475,0,0,0,0
-39.043,-41.8375,0,0,0,0
-39.033,-41.8275,0,0,0,0
-39.023,-41.8175,0,0,0,0
-39.013,-41.8075,0,0,0,0
-39.003,-41.7975,0,0,0,0
-38.993,-41.7875,0,0,0,0
-38.983,-41.7775,0,0,0,0
-38.973,-41.7675,0,0,0,0
-38.963,-41.7575,0,0,0,0
-38.953,-41.7475,0,0,0,0
-38.943,-41.7375,0,0,0,0
-38.933,-41.7275,0,0,0,0
-38.923,-41.7175,0,0,0,0
-38.913,-41.7075,0,0,0,0
-38.903,-41.6975,0,0,0,0
-38.893,-41.6875,0,0,0,0
-38.883,-41.6775,0,0,0,0
-38.873,-41.6675,0,0,0,0
-38.863,-41.6575,0,0,0,0
-38.853,-41.6475,0,0,0,0
-38.843,-41.6375,0,0,0,0
-38.833,-41.6275,0,0,0,0
-38.823,-41.6175,0,0,0,0
-38.813,-41.6075,0,0,0,0
-38.803,-41.5975,0,0,0,0
-38.793,-41.5875,0,0,0,0
-38.783,-41.5775,0,0,0,0
-38.773,-41.5675,0,0,0,0
-38.763,-41.5575,0,0,0,0
-38.753,-41.5475,0,0,0,0
-38.743,-41.5375,0,0,0,0
-38.733,-41.5275,0,0,0,0
-38.723,-41.5175,0,0,0,0
-38.713,-41.5075,0,0,0,0
-38.703,-41.4975,0,0,0,0
-38.693,-41.4875,0,0,0,0
-38.683,-41.4775,0,0,0,0
-38.673,-41.4675,0,0,0,0
-38.663,-41.4575,0,0,0,0
-38.653,-41.4475,0,0,0,0
-38.643,-41.4375,0,0,0,0
-38.633,-41.4275,0,0,0,0
-38.623,-41.4175,0,0,0,0
-38.613,-41.4075,0,0,0,0
-38.603,-41.3975,0,0,0,0
-38.593,-41.3875,0,0,0,0
-38.583,-41.3775,0,0,0,0
-38.573,-41.3675,0,0,0,0
-38.563,-41.3575,0,0,0,0
-38.553,-41.3475,0,0,0,0
-38.543,-41.3375,0,0,0,0
-38.533,-41.3275,0,0,0,0
-38.523,-41.3175,0,0,0,0
-38.513,-41.3075,0,0,0,0
-38.503,-41.2975,0,0,0,0
-38.493,-41.2875,0,0,0,0
-38.483,-41.2775,0,0,0,0
-38.473,-41.2675,0,0,0,0
-38.463,-41.2575,0,0,0,0
-38.453,-41.2475,0,0,0,0
-38.443,-41.2375,0,0,0,0
-38.433,-41.2275,0,0,0,0
-38.423,-41.2175,0,0,0,0
-38.413,-41.2075,0,0,0,0
-38.403,-41.1975,0,0,0,0
-38.393,-41.1875,0,0,0,0
-38.383,-41.1775,0,0,0,0
-38.373,-41.1675,0,0,0,0
-38.363,-41.1575,0,0,0,0
-38.353,-41.1475,0,0,0,0
-38.343,-41.1375,0,0,0,0
-38.333,-41.1275,0,0,0,0
-38.323,-41.1175,0,0,0,0
-38.313,-41.1075,0,0,0,0
-38.303,-41.0975,0,0,0,0
-38.293,-41.0875,0,0,0,0
-38.283,-41.0775,0,0,0,0
-38.273,-41.0675,0,0,0,0
-38.263,-41.0575,0,0,0,0
-38.253,-41.0475,0,0,0,0
-38.243,-41.0375,0,0,0,0
-38.233,-41.0275,0,0,0,0
-38.223,-41.0175,0,0,0,0
-38.213,-41.0075,0,0,0,0
-38.203,-40.9975,0,0,0,0
-38.193,-40.9875,0,0,0,0
-38.183,-40.9775,0,0,0,0
-38.173,-40.9675,0,0,0,0
-38.163,-40.9575,0,0,0,0
-38.153,-40.9475,0,0,0,0
-38.143,-40.9375,0,0,0,0
-38.133,-40.9275,0,0,0,0
-38.123,-40.9175,0,0,0,0
-38.113,-40.9075,0,0,0,0
-38.103,-40.8975,0,0,0,0
-38.093,-40.8875,0,0,0,0
-38.083,-40.8775,0,0,0,0
-38.073,-40.8675,0,0,0,0
-38.063,-40.8575,0,0,0,0
-38.053,-40.8475,0,0,0,0
-38.043,-40.8375,0,0,0,0
-38.033,-40.8275,0,0,0,0
-38.023,-40.8175,0,0,0,0
-38.013,-40.8075,0,0,0,0
-38.003,-40.7975,0,0,0,0
-37.993,-40.7875,0,0,0,0
-37.983,-40.7775,0,0,0,0
-37.973,-40.7675,0,0,0,0
-37.963,-40.7575,0,0,0,0
-37.953,-40.7475,0,0,0,0
-37.943,-40.7375,0,0,0,0
-37.933,-40.7275,0,0,0,0
-37.923,-40.7175,0,0,0,0
-37.913,-40.7075,0,0,0,0
-37.903,-40.6975,0,0,0,0
-37.893,-40.6875,0,0,0,0
-37.883,-40.6775,0,0,0,0
-37.873,-40.6675,0,0,0,0
-37.863,-40.6575,0,0,0,0
-37.853,-40.6475,0,0,0,0
-37.843,-40.6375,0,0,0,0
-37.833,-40.6275,0,0,0,0
-37.823,-40.6175,0,0,0,0
-37.813,-40.6075,0,0,0,0
-37.803,-40.5975,0,0,0,0
-37.793,-40.5875,0,0,0,0
-37.783,-40.5775,0,0,0,0
-37.773,-40.5675,0,0,0,0
-37.763,-40.5575,0,0,0,0
-37.753,-40.5475,0,0,0,0
-37.743,-40.5375,0,0,0,0
-37.733,-40.5275,0,0,0,0
-37.723,-40.5175,0,0,0,0
-37.713,-40.5075,0,0,0,0
-37.703,-40.4975,0,0,0,0
-37.693,-40.4875,0,0,0,0
-37.683,-40.4775,0,0,0,0
-37.673,-40.4675,0,0,0,0
-37.663,-40.4575,0,0,0,0
-37.653,-40.4475,0,0,0,0
-37.643,-40.4375,0,0,0,0
-37.633,-40.4275,0,0,0,0
-37.623,-40.4175,0,0,0,0
-37.613,-40.4075,0,0,0,0
-37.603,-40.3975,0,0,0,0
-37.593,-40.3875,0,0,0,0
-37.583,-40.3775,0,0,0,0
-37.573,-40.3675,0,0,0,0
-37.563,-40.3575,0,0,0,0
-37.553,-40.3475,0,0,0,0
-37.543,-40.3375,0,0,0,0
-37.533,-40.3275,0,0,0,0
-37.523,-40.3175,0,0,0,0
-37.513,-40.3075,0,0,0,0
-37.503,-40.2975,0,0,0,0
-37.493,-40.2875,0,0,0,0
-37.483,-40.2775,0,0,0,0
-37.473,-40.2675,0,0,0,0
-37.463,-40.2575,0,0,0,0
-37.453,-40.2475,0,0,0,0
-37.443,-40.2375,0,0,0,0
-37.433,-40.2275,0,0,0,0
-37.423,-40.2175,0,0,0,0
-37.413,-40.2075,0,0,0,0
-37.403,-40.1975,0,0,0,0
-37.393,-40.1875,0,0,0,0
-37.383,-40.1775,0,0,0,0
-37.373,-40.1675,0,0,0,0
-37.363,-40.1575,0,0,0,0
-37.353,-40.1475,0,0,0,0
-37.343,-40.1375,0,0,0,0
-37.333,-40.1275,0,0,0,0
-37.323,-40.1175,0,0,0,0
-37.313,-40.1075,0,0,0,0
-37.303,-40.0975,0,0,0,0
-37.293,-40.0875,0,0,0,0
-37.283,-40.0775,0,0,0,0
-37.273,-40.0675,0,0,0,0
-37.263,-40.0575,0,0,0,0
-37.253,-40.0475,0,0,0,0
-37.243,-40.0375,0,0,0,0
-37.233,-40.0275,0,0,0,0
-37.223,-40.0175,0,0,0,0
-37.213,-40.0075,0,0,0,0
-37.203,-39.9975,0,0,0,0
-37.193,-39.9875,0,0,0,0
-37.183,-39.9775,0,0,0,0
-37.173,-39.9675,0,0,0,0
-37.163,-39.9575,0,0,0,0
-37.153,-39.9475,0,0,0,0
-37.143,-39.9375,0,0,0,0
-37.133,-39.9275,0,0,0,0
-37.123,-39.9175,0,0,0,0
-37.113,-39.9075,0,0,0,0
-37.103,-39.8975,0,0,0,0
-37.093,-39.8875,0,0,0,0
-37.083,-39.8775,0,0,0,0
-37.073,-39.8675,0,0,0,0
-37.063,-39.8575,0,0,0,0
-37.053,-39.8475,0,0,0,0
-37.043,-39.8375,0,0,0,0
-37.033,-39.8275,0,0,0,0
-37.023,-39.8175,0,0,0,0
-37.013,-39.8075,0,0,0,0
-37.003,-39.7975,0,0,0,0
-36.993,-39.7875,0,0,0,0
-36.983,-39.7775,0,0,0,0
-36.973,-39.7675,0,0,0,0
-36.963,-39.7575,0,0,0,0
-36.953,-39.7475,0,0,0,0
-36.943,-39.7375,0,0,0,0
-36.933,-39.7275,0,0,0,0
-36.923,-39.7175,0,0,0,0
-36.913,-39.7075,0,0,0,0
-36.903,-39.6975,0,0,0,0
-36.893,-39.6875,0,0,0,0
-36.883,-39.6775,0,0,0,0
-36.873,-39.6675,0,0,0,0
-36.863,-39.6575,0,0,0,0
-36.853,-39.6475,0,0,0,0
-36.843,-39.6375,0,0,0,0
-36.833,-39.6275,0,0,0,0
-36.823,-39.6175,0,0,0,0
-36.813,-39.6075,0,0,0,0
-36.803,-39.5975,0,0,0,0
-36.793,-39.5875,0,0,0,0
-36.783,-39.5775,0,0,0,0
-36.773,-39.5675,0,0,0,0
-36.763,-39.5575,0,0,0,0
-36.753,-39.5475,0,0,0,0
-36.743,-39.5375,0,0,0,0
-36.733,-39.5275,0,0,0,0
-36.723,-39.5175,0,0,0,0
-36.713,-39.5075,0,0,0,0
-36.703,-39.4975,0,0,0,0
-36.693,-39.4875,0,0,0,0
-36.683,-39.4775,0,0,0,0
-36.673,-39.4675,0,0,0,0
-36.663,-39.4575,0,0,0,0
-36.653,-39.4475,0,0,0,0
-36.643,-39.4375,0,0,0,0
-36.633,-39.4275,0,0,0,0
-36.623,-39.4175,0,0,0,0
-36.613,-39.4075,0,0,0,0
-36.603,-39.3975,0,0,0,0
-36.593,-39.3875,0,0,0,0
-36.583,-39.3775,0,0,0,0
-36.573,-39.3675,0,0,0,0
-36.563,-39.3575,0,0,0,0
-36.553,-39.3475,0,0,0,0
-36.543,-39.3375,0,0,0,0
-36.533,-39.3275,0,0,0,0
-36.523,-39.3175,0,0,0,0
-36.513,-39.3075,0,0,0,0
-36.503,-39.2975,0,0,0,0
-36.493,-39.2875,0,0,0,0
-36.483,-39.2775,0,0,0,0
-36.473,-39.2675,0,0,0,0
-36.463,-39.2575,0,0,0,0
-36.453,-39.2475,0,0,0,0
-36.443,-39.2375,0,0,0,0
-36.433,-39.2275,0,0,0,0
-36.423,-39.2175,0,0,0,0
-36.413,-39.2075,0,0,0,0
-36.403,-39.1975,0,0,0,0
-36.393,-39.1875,0,0,0,0
-36.383,-39.1775,0,0,0,0
-36.373,-39.1675,0,0,0,0
-36.363,-39.1575,0,0,0,0
-36.353,-39.1475,0,0,0,0
-36.343,-39.1375,0,0,0,0
-36.333,-39.1275,0,0,0,0
-36.323,-39.1175,0,0,0,0
-36.313,-39.1075,0,0,0,0
-36.303,-39.0975,0,0,0,0
-36.293,-39.0875,0,0,0,0
-36.283,-39.0775,0,0,0,0
-36.273,-39.0675,0,0,0,0
-36.263,-39.0575,0,0,0,0
-36.253,-39.0475,0,0,0,0
-36.243,-39.0375,0,0,0,0
-36.233,-39.0275,0,0,0,0
-36.223,-39.0175,0,0,0,0
-36.213,-39.0075,0,0,0,0
-36.203,-38.9975,0,0,0,0
-36.193,-38.9875,0,0,0,0
-36.183,-38.9775,0,0,0,0
-36.173,-38.9675,0,0,0,0
-36.163,-38.9575,0,0,0,0
-36.153,-38.9475,0,0,0,0
-36.143,-38.9375,0,0,0,0
-36.133,-38.9275,0,0,0,0
-36.123,-38.9175,0,0,0,0
-36.113,-38.9075,0,0,0,0
-36.103,-38.8975,0,0,0,0
-36.093,-38.8875,0,0,0,0
-36.083,-38.8775,0,0,0,0
-36.073,-38.8675,0,0,0,0
-36.063,-38.8575,0,0,0,0
-36.053,-38.8475,0,0,0,0
-36.043,-38.8375,0,0,0,0
-36.033,-38.8275,0,0,0,0
-36.023,-38.8175,0,0,0,0
-36.013,-38.8075,0,0,0,0
-36.003,-38.7975,0,0,0,0
-35.993,-38.7875,0,0,0,0
-35.983,-38.7775,0,0,0,0
-35.973,-38.7675,0,0,0,0
-35.963,-38.7575,0,0,0,0
-35.953,-38.7475,0,0,0,0
-35.943,-38.7375,0,0,0,0
-35.933,-38.7275,0,0,0,0
-35.923,-38.7175,0,0,0,0
-35.913,-38.7075,0,0,0,0
-35.903,-38.6975,0,0,0,0
-35.893,-38.6875,0,0,0,0
-35.883,-38.6775,0,0,0,0
-35.873,-38.6675,0,0,0,0
-35.863,-38.6575,0,0,0,0
-35.853,-38.6475,0,0,0,0
-35.843,-38.6375,0,0,0,0
-35.833,-38.6275,0,0,0,0
-35.823,-38.6175,0,0,0,0
-35.813,-38.6075,0,0,0,0
-35.803,-38.5975,0,0,0,0
-35.793,-38.5875,0,0,0,0
-35.783,-38.5775,0,0,0,0
-35.773,-38.5675,0,0,0,0
-35.763,-38.5575,0,0,0,0
-35.753,-38.5475,0,0,0,0
-35.743,-38.5375,0,0,0,0
-35.733,-38.5275,0,0,0,0
-35.723,-38.5175,0,0,0,0
-35.713,-38.5075,0,0,0,0
-35.703,-38.4975,0,0,0,0
-35.693,-38.4875,0,0,0,0
-35.683,-38.4775,0,0,0,0
-35.673,-38.4675,0,0,0,0
-35.663,-38.4575,0,0,0,0
-35.653,-38.4475,0,0,0,0
-35.643,-38.4375,0,0,0,0
-35.633,-38.4275,0,0,0,0
-35.623,-38.4175,0,0,0,0
-35.613,-38.4075,0,0,0,0
-35.603,-38.3975,0,0,0,0
-35.593,-38.3875,0,0,0,0
-35.583,-38.3775,0,0,0,0
-35.573,-38.3675,0,0,0,0
-35.563,-38.3575,0,0,0,0
-35.553,-38.3475,0,0,0,0
-35.543,-38.3375,0,0,0,0
-35.533,-38.3275,0,0,0,0
-35.523,-38.3175,0,0,0,0
-35.513,-38.3075,0,0,0,0
-35.503,-38.2975,0,0,0,0
-35.493,-38.2875,0,0,0,0
-35.483,-38.2775,0,0,0,0
-35.473,-38.2675,0,0,0,0
-35.463,-38.2575,0,0,0,0
-35.453,-38.2475,0,0,0,0
-35.443,-38.2375,0,0,0,0
-35.433,-38.2275,0,0,0,0
-35.423,-38.2175,0,0,0,0
-35.413,-38.2075,0,0,0,0
-35.403,-38.1975,0,0,0,0
-35.393,-38.1875,0,0,0,0
-35.383,-38.1775,0,0,0,0
-35.373,-38.1675,0,0,0,0
-35.363,-38.1575,0,0,0,0
-35.353,-38.1475,0,0,0,0
-35.343,-38.1375,0,0,0,0
-35.333,-38.1275,0,0,0,0
-35.323,-38.1175,0,0,0,0
-35.313,-38.1075,0,0,0,0
-35.303,-38.0975,0,0,0,0
-35.293,-38.0875,0,0,0,0
-35.283,-38.0775,0,0,0,0
-35.273,-38.0675,0,0,0,0
-35.263,-38.0575,0,0,0,0
-35.253,-38.0475,0,0,0,0
-35.243,-38.0375,0,0,0,0
-35.233,-38.0275,0,0,0,0
-35.223,-38.0175,0,0,0,0
-35.213,-38.0075,0,0,0,0
-35.203,-37.9975,0,0,0,0
-35.193,-37.9875,0,0,0,0
-35.183,-37.9775,0,0,0,0
-35.173,-37.9675,0,0,0,0
-35.163,-37.9575,0,0,0,0
-35.153,-37.9475,0,0,0,0
-35.143,-37.9375,0,0,0,0
-35.133,-37.9275,0,0,0,0
-35.123,-37.9175,0,0,0,0
-35.113,-37.9075,0,0,0,0
-35.103,-37.8975,0,0,0,0
-35.093,-37.8875,0,0,0,0
-35.083,-37.8775,0,0,0,0
-35.073,-37.8675,0,0,0,0
-35.063,-37.8575,0,0,0,0
-35.053,-37.8475,0,0,0,0
-35.043,-37.8375,0,0,0,0
-35.033,-37.8275,0,0,0,0
-35.023,-37.8175,0,0,0,0
-35.013,-37.8075,0,0,0,0
-35.003,-37.7975,0,0,0,0
-34.993,-37.7875,0,0,0,0
-34.983,-37.7775,0,0,0,0
-34.973,-37.7675,0,0,0,0
-34.963,-37.7575,0,0,0,0
-34.953,-37.7475,0,0,0,0
-34.943,-37.7375,0,0,0,0
-34.933,-37.7275,0,0,0,0
-34.923,-37.7175,0,0,0,0
-34.913,-37.7075,0,0,0,0
-34.903,-37.6975,0,0,0,0
-34.893,-37.6875,0,0,0,0
-34.883,-37.6775,0,0,0,0
-34.873,-37.6675,0,0,0,0
-34.863,-37.6575,0,0,0,0
-34.853,-37.6475,0,0,0,0
-34.843,-37.6375,0,0,0,0
-34.833,-37.6275,0,0,0,0
-34.823,-37.6175,0,0,0,0
-34.813,-37.6075,0,0,0,0
-34.803,-37.5975,0,0,0,0
-34.793,-37.5875,0,0,0,0
-34.783,-37.5775,0,0,0,0
-34.773,-37.5675,0,0,0,0
-34.763,-37.5575,0,0,0,0
-34.753,-37.5475,0,0,0,0
-34.743,-37.5375,0,0,0,0
-34.733,-37.5275,0,0,0,0
-34.723,-37.5175,0,0,0,0
-34.713,-37.5075,0,0,0,0
-34.703,-37.4975,0,0,0,0
-34.693,-37.4875,0,0,0,0
-34.683,-37.4775,0,0,0,0
-34.673,-37.4675,0,0,0,0
-34.663,-37.4575,0,0,0,0
-34.653,-37.4475,0,0,0,0
-34.643,-37.4375,0,0,0,0
-34.633,-37.4275,0,0,0,0
-34.623,-37.4175,0,0,0,0
-34.613,-37.4075,0,0,0,0
-34.603,-37.3975,0,0,0,0
-34.593,-37.3875,0,0,0,0
-34.583,-37.3775,0,0,0,0
-34.573,-37.3675,0,0,0,0
-34.563,-37.3575,0,0,0,0
-34.553,-37.3475,0,0,0,0
-34.543,-37.3375,0,0,0,0
-34.533,-37.3275,0,0,0,0
-34.523,-37.3175,0,0,0,0
-34.513,-37.3075,0,0,0,0
-34.503,-37.2975,0,0,0,0
-34.493,-37.2875,0,0,0,0
-34.483,-37.2775,0,0,0,0
-34.473,-37.2675,0,0,0,0
-34.463,-37.2575,0,0,0,0
-34.453,-37.2475,0,0,0,0
-34.443,-37.2375,0,0,0,0
-34.433,-37.2275,0,0,0,0
-34.423,-37.2175,0,0,0,0
-34.413,-37.2075,0,0,0,0
-34.403,-37.1975,0,0,0,0
-34.393,-37.1875,0,0,0,0
-34.383,-37.1775,0,0,0,0
-34.373,-37.1675,0,0,0,0
-34.363,-37.1575,0,0,0,0
-34.353,-37.1475,0,0,0,0
-34.343,-37.1375,0,0,0,0
-34.333,-37.1275,0,0,0,0
-34.323,-37.1175,0,0,0,0
-34.313,-37.1075,0,0,0,0
-34.303,-37.0975,0,0,0,0
-34.293,-37.0875,0,0,0,0
-34.283,-37.0775,0,0,0,0
-34.273,-37.0675,0,0,0,0
-34.263,-37.0575,0,0,0,0
-34.253,-37.0475,0,0,0,0
-34.243,-37.0375,0,0,0,0
-34.233,-37.0275,0,0,0,0
-34.223,-37.0175,0,0,0,0
-34.213,-37.0075,0,0,0,0
-34.203,-36.9975,0,0,0,0
-34.193,-36.9875,0,0,0,0
-34.183,-36.9775,0,0,0,0
-34.173,-36.9675,0,0,0,0
-34.163,-36.9575,0,0,0,0
-34.153,-36.9475,0,0,0,0
-34.143,-36.9375,0,0,0,0
-34.133,-36.9275,0,0,0,0
-34.123,-36.9175,0,0,0,0
-34.113,-36.9075,0,0,0,0
-34.103,-36.8975,0,0,0,0
-34.093,-36.8875,0,0,0,0
